estacion,hora,q_cafes_llevar_solo,q_cafes_local_solo,q_cafes_llevar_solo_leche,q_cafes_llevar_solo_otros,q_cafes_local_solo_leche,q_cafes_local_solo_otros,q_cafes_llevar_solo_otros_negro,q_cafes_local_solo_otros_negro
Congreso,2,48.0000,43.0000,23.0000,25.0000,5.0000,38.0000,1.0000,43.0000
Pilar,0,23.0000,36.0000,3.0000,20.0000,8.0000,28.0000,7.0000,36.0000
Mitre,4,null,null,null,null,null,null,null,null
Buen Ayre,9,248.0000,220.0000,133.0000,115.0000,50.0000,170.0000,37.0000,171.0000
Florencio Varela,7,233.0000,128.0000,79.0000,154.0000,38.0000,90.0000,7.0000,99.0000
Zarate,4,null,null,null,null,null,null,null,null
Florencio Varela,21,23.0000,19.0000,16.0000,7.0000,5.0000,14.0000,null,19.0000
America,23,36.0000,61.0000,5.0000,31.0000,null,61.0000,16.0000,61.0000
Del Tejar,4,25.0000,21.0000,9.0000,16.0000,null,21.0000,2.0000,21.0000
Gral Paz Provincia,10,232.0000,431.0000,95.0000,137.0000,38.0000,393.0000,36.0000,309.0000
Fisherton,5,2.0000,6.0000,null,2.0000,null,6.0000,2.0000,5.0000
La Bandera,21,14.0000,37.0000,10.0000,4.0000,null,37.0000,2.0000,25.0000
Santa Fe,0,null,null,null,null,null,null,null,null
Libertador,16,95.0000,197.0000,32.0000,63.0000,24.0000,173.0000,19.0000,158.0000
Pilar,7,233.0000,58.0000,110.0000,123.0000,12.0000,46.0000,54.0000,58.0000
Lima,4,351.0000,106.0000,119.0000,232.0000,4.0000,102.0000,125.0000,76.0000
Emilio Castro,0,48.0000,16.0000,32.0000,16.0000,3.0000,13.0000,5.0000,8.0000
Centenera,18,47.0000,46.0000,22.0000,25.0000,7.0000,39.0000,18.0000,45.0000
Dialogos,1,21.0000,16.0000,11.0000,10.0000,2.0000,14.0000,1.0000,15.0000
Centenera,22,5.0000,7.0000,2.0000,3.0000,2.0000,5.0000,1.0000,6.0000
Parque Sarmiento,18,72.0000,80.0000,16.0000,56.0000,5.0000,75.0000,45.0000,69.0000
La Carmela,6,235.0000,78.0000,121.0000,114.0000,22.0000,56.0000,57.0000,78.0000
Olivos,10,147.0000,193.0000,123.0000,24.0000,26.0000,167.0000,2.0000,185.0000
Arroyo Seco,1,378.0000,140.0000,151.0000,227.0000,25.0000,115.0000,96.0000,77.0000
El Arco,23,null,null,null,null,null,null,null,null
Florencio Varela,4,30.0000,11.0000,3.0000,27.0000,5.0000,6.0000,3.0000,11.0000
Villa Allende,9,133.0000,241.0000,79.0000,54.0000,12.0000,229.0000,36.0000,125.0000
Congreso,18,75.0000,101.0000,31.0000,44.0000,3.0000,98.0000,2.0000,101.0000
Gral Paz Capital,2,63.0000,114.0000,47.0000,16.0000,null,114.0000,14.0000,114.0000
Villa Allende,15,46.0000,206.0000,15.0000,31.0000,3.0000,203.0000,17.0000,123.0000
Anchorena,15,null,21.0000,null,null,6.0000,15.0000,null,21.0000
Floresta,8,177.0000,84.0000,59.0000,118.0000,6.0000,78.0000,16.0000,84.0000
Mitre,14,null,null,null,null,null,null,null,null
DISC Caraffa,0,null,null,null,null,null,null,null,null
Santa Fe,19,22.0000,10.0000,9.0000,13.0000,null,10.0000,8.0000,9.0000
Del Tejar,15,64.0000,232.0000,28.0000,36.0000,17.0000,215.0000,3.0000,229.0000
Lima,16,670.0000,535.0000,178.0000,492.0000,52.0000,483.0000,202.0000,397.0000
Villa Allende,17,60.0000,236.0000,34.0000,26.0000,15.0000,221.0000,11.0000,136.0000
DISC Caraffa,4,null,null,null,null,null,null,null,null
Trelles,3,36.0000,17.0000,17.0000,19.0000,null,17.0000,18.0000,6.0000
Los Incas,3,10.0000,1.0000,6.0000,4.0000,null,1.0000,1.0000,1.0000
Alvear,7,364.0000,556.0000,193.0000,171.0000,129.0000,427.0000,69.0000,417.0000
DISC Caraffa,8,21.0000,36.0000,null,21.0000,5.0000,31.0000,5.0000,23.0000
Maipu,16,31.0000,184.0000,11.0000,20.0000,12.0000,172.0000,null,164.0000
Mitre,17,null,null,null,null,null,null,null,null
San Isidro,9,249.0000,294.0000,113.0000,136.0000,44.0000,250.0000,32.0000,268.0000
Pilar,2,14.0000,14.0000,1.0000,13.0000,3.0000,11.0000,3.0000,14.0000
Buen Ayre,15,98.0000,271.0000,30.0000,68.0000,21.0000,250.0000,26.0000,203.0000
Disc Panamericana,22,5.0000,1.0000,3.0000,2.0000,null,1.0000,null,1.0000
Trelles,15,43.0000,98.0000,21.0000,22.0000,5.0000,93.0000,14.0000,22.0000
Zarate,1,32.0000,null,8.0000,24.0000,null,null,5.0000,null
La Carmela,9,180.0000,70.0000,66.0000,114.0000,11.0000,59.0000,35.0000,70.0000
Arroyo Seco,12,473.0000,535.0000,196.0000,277.0000,66.0000,469.0000,70.0000,231.0000
AUBASA BA-LP,0,105.0000,65.0000,14.0000,91.0000,9.0000,56.0000,33.0000,48.0000
Garay,2,57.0000,83.0000,19.0000,38.0000,5.0000,78.0000,4.0000,63.0000
Quilmes,7,266.0000,262.0000,139.0000,127.0000,47.0000,215.0000,53.0000,196.0000
Fisherton,17,72.0000,1249.0000,8.0000,64.0000,null,1249.0000,29.0000,1059.0000
Trelles,14,27.0000,96.0000,14.0000,13.0000,11.0000,85.0000,11.0000,20.0000
El Club,17,146.0000,407.0000,60.0000,86.0000,62.0000,345.0000,30.0000,314.0000
Maschwitz,6,null,149.0000,null,null,null,149.0000,null,132.0000
Disc Panamericana,0,null,null,null,null,null,null,null,null
San Isidro,4,55.0000,9.0000,31.0000,24.0000,1.0000,8.0000,9.0000,7.0000
Maschwitz,23,null,null,null,null,null,null,null,null
Zarate Brazo Largo,17,88.0000,46.0000,55.0000,33.0000,2.0000,44.0000,null,46.0000
Laferrere,0,43.0000,46.0000,7.0000,36.0000,12.0000,34.0000,13.0000,21.0000
AUBASA BA-LP,15,200.0000,245.0000,34.0000,166.0000,26.0000,219.0000,59.0000,168.0000
Maipu,8,112.0000,165.0000,58.0000,54.0000,27.0000,138.0000,null,161.0000
DISC Echeverria,7,null,78.0000,null,null,null,78.0000,null,33.0000
Santa Rita,20,21.0000,46.0000,4.0000,17.0000,null,46.0000,null,43.0000
Santa Rita,1,30.0000,45.0000,3.0000,27.0000,2.0000,43.0000,3.0000,45.0000
Fisherton,19,93.0000,698.0000,10.0000,83.0000,null,698.0000,31.0000,611.0000
Maschwitz,9,null,212.0000,null,null,null,212.0000,null,188.0000
Parque Sarmiento,21,20.0000,21.0000,5.0000,15.0000,1.0000,20.0000,12.0000,20.0000
America,12,69.0000,116.0000,31.0000,38.0000,null,116.0000,11.0000,116.0000
Rosario Sur,23,null,null,null,null,null,null,null,null
Pilar,13,33.0000,86.0000,15.0000,18.0000,10.0000,76.0000,5.0000,86.0000
Parque Sarmiento,7,93.0000,62.0000,71.0000,22.0000,6.0000,56.0000,14.0000,38.0000
Arroyo Seco,6,785.0000,178.0000,406.0000,379.0000,51.0000,127.0000,101.0000,129.0000
Alberdi,23,null,12.0000,null,null,null,12.0000,null,10.0000
Congreso,13,63.0000,102.0000,40.0000,23.0000,4.0000,98.0000,1.0000,101.0000
Bulnes,22,null,null,null,null,null,null,null,null
Santa Fe,23,null,null,null,null,null,null,null,null
La Bandera,11,87.0000,547.0000,67.0000,20.0000,16.0000,531.0000,15.0000,309.0000
Congreso,3,35.0000,39.0000,15.0000,20.0000,10.0000,29.0000,null,39.0000
Quilmes,13,49.0000,93.0000,28.0000,21.0000,5.0000,88.0000,7.0000,51.0000
Congreso,20,26.0000,29.0000,13.0000,13.0000,null,29.0000,null,29.0000
Boulevard,8,232.0000,194.0000,97.0000,135.0000,19.0000,175.0000,68.0000,158.0000
Amanecer,5,99.0000,55.0000,40.0000,59.0000,null,55.0000,14.0000,55.0000
Lima,9,565.0000,347.0000,250.0000,315.0000,60.0000,287.0000,135.0000,287.0000
Los Incas,12,59.0000,3.0000,47.0000,12.0000,null,3.0000,3.0000,3.0000
Zarate Brazo Largo,18,64.0000,42.0000,49.0000,15.0000,1.0000,41.0000,2.0000,42.0000
Disc Panamericana,15,5.0000,10.0000,1.0000,4.0000,null,10.0000,null,10.0000
Santa Rita,6,62.0000,29.0000,8.0000,54.0000,1.0000,28.0000,2.0000,28.0000
Centenera,1,11.0000,6.0000,3.0000,8.0000,2.0000,4.0000,4.0000,6.0000
DISC Caraffa,11,25.0000,64.0000,null,25.0000,3.0000,61.0000,2.0000,44.0000
Trelles,9,122.0000,82.0000,58.0000,64.0000,10.0000,72.0000,54.0000,19.0000
Floresta,1,71.0000,44.0000,15.0000,56.0000,7.0000,37.0000,6.0000,44.0000
Libertador,6,109.0000,75.0000,52.0000,57.0000,13.0000,62.0000,13.0000,56.0000
El Club,4,33.0000,22.0000,11.0000,22.0000,4.0000,18.0000,6.0000,18.0000
Gral Paz Provincia,12,101.0000,311.0000,32.0000,69.0000,16.0000,295.0000,20.0000,230.0000
Arroyo Seco,15,888.0000,872.0000,336.0000,552.0000,64.0000,808.0000,156.0000,346.0000
Lima,15,629.0000,461.0000,145.0000,484.0000,22.0000,439.0000,197.0000,304.0000
Los Incas,19,38.0000,1.0000,23.0000,15.0000,null,1.0000,3.0000,1.0000
Garay,6,114.0000,77.0000,52.0000,62.0000,8.0000,69.0000,10.0000,43.0000
Ovidio Lagos,20,18.0000,112.0000,8.0000,10.0000,2.0000,110.0000,null,112.0000
Floresta,4,39.0000,30.0000,3.0000,36.0000,5.0000,25.0000,9.0000,30.0000
Bonpland,8,365.0000,284.0000,193.0000,172.0000,59.0000,225.0000,50.0000,199.0000
Trelles,20,21.0000,35.0000,10.0000,11.0000,2.0000,33.0000,7.0000,13.0000
Dialogos,10,112.0000,105.0000,74.0000,38.0000,14.0000,91.0000,9.0000,99.0000
Gutierrez,10,74.0000,92.0000,33.0000,41.0000,5.0000,87.0000,19.0000,80.0000
Maipu,22,30.0000,54.0000,19.0000,11.0000,2.0000,52.0000,null,54.0000
Congreso,12,70.0000,146.0000,54.0000,16.0000,6.0000,140.0000,null,146.0000
DISC Caraffa,16,3.0000,61.0000,null,3.0000,2.0000,59.0000,null,52.0000
Rivadavia,13,null,null,null,null,null,null,null,null
Zarate Brazo Largo,2,28.0000,20.0000,19.0000,9.0000,null,20.0000,null,20.0000
San Isidro,10,240.0000,270.0000,101.0000,139.0000,33.0000,237.0000,27.0000,252.0000
Quilmes,10,115.0000,314.0000,46.0000,69.0000,43.0000,271.0000,22.0000,150.0000
Quilmes,19,34.0000,87.0000,18.0000,16.0000,14.0000,73.0000,5.0000,63.0000
Garay,9,166.0000,238.0000,67.0000,99.0000,18.0000,220.0000,15.0000,137.0000
AUBASA LP-BA,9,381.0000,199.0000,147.0000,234.0000,32.0000,167.0000,74.0000,136.0000
Fisherton,22,10.0000,39.0000,null,10.0000,null,39.0000,10.0000,39.0000
America,4,54.0000,18.0000,27.0000,27.0000,null,18.0000,7.0000,18.0000
Luis Viale,3,21.0000,36.0000,8.0000,13.0000,10.0000,26.0000,5.0000,29.0000
Anchorena,2,null,25.0000,null,null,6.0000,19.0000,null,25.0000
AUBASA LP-BA,3,96.0000,19.0000,38.0000,58.0000,5.0000,14.0000,32.0000,9.0000
Dialogos,15,73.0000,87.0000,39.0000,34.0000,12.0000,75.0000,3.0000,76.0000
Boulevard,3,null,null,null,null,null,null,null,null
Congreso,15,108.0000,127.0000,58.0000,50.0000,3.0000,124.0000,1.0000,127.0000
San Isidro,7,329.0000,154.0000,157.0000,172.0000,42.0000,112.0000,34.0000,142.0000
AUBASA LP-BA,22,60.0000,44.0000,9.0000,51.0000,11.0000,33.0000,20.0000,32.0000
Los Incas,6,95.0000,5.0000,79.0000,16.0000,null,5.0000,5.0000,5.0000
Los Incas,2,14.0000,3.0000,10.0000,4.0000,null,3.0000,3.0000,3.0000
Alberdi,4,null,22.0000,null,null,null,22.0000,null,20.0000
Maschwitz,16,null,43.0000,null,null,null,43.0000,null,31.0000
Cabildo,9,113.0000,63.0000,67.0000,46.0000,9.0000,54.0000,5.0000,26.0000
Florencio Varela,15,67.0000,120.0000,50.0000,17.0000,19.0000,101.0000,3.0000,120.0000
Alvear,23,82.0000,230.0000,14.0000,68.0000,20.0000,210.0000,27.0000,188.0000
Zarate Brazo Largo,21,40.0000,39.0000,31.0000,9.0000,3.0000,36.0000,null,39.0000
Quilmes,15,55.0000,124.0000,21.0000,34.0000,13.0000,111.0000,18.0000,93.0000
Buen Ayre,20,43.0000,81.0000,13.0000,30.0000,12.0000,69.0000,14.0000,71.0000
San Isidro,23,32.0000,29.0000,9.0000,23.0000,4.0000,25.0000,4.0000,29.0000
Floresta,5,49.0000,46.0000,7.0000,42.0000,9.0000,37.0000,10.0000,46.0000
Anchorena,5,null,17.0000,null,null,7.0000,10.0000,null,17.0000
Alvear,20,78.0000,245.0000,15.0000,63.0000,44.0000,201.0000,13.0000,202.0000
La Carmela,23,43.0000,22.0000,17.0000,26.0000,5.0000,17.0000,16.0000,22.0000
Villa Luro,16,73.0000,227.0000,22.0000,51.0000,12.0000,215.0000,11.0000,130.0000
San Isidro,2,46.0000,26.0000,18.0000,28.0000,1.0000,25.0000,10.0000,23.0000
Arroyo Seco,4,262.0000,75.0000,118.0000,144.0000,11.0000,64.0000,68.0000,48.0000
Maschwitz,3,null,27.0000,null,null,null,27.0000,null,21.0000
Maschwitz,10,null,105.0000,null,null,null,105.0000,null,87.0000
Del Tejar,12,56.0000,189.0000,26.0000,30.0000,33.0000,156.0000,null,189.0000
Villa Luro,3,37.0000,15.0000,7.0000,30.0000,3.0000,12.0000,4.0000,12.0000
Arroyo Seco,23,236.0000,88.0000,84.0000,152.0000,12.0000,76.0000,74.0000,49.0000
Dialogos,23,39.0000,31.0000,18.0000,21.0000,2.0000,29.0000,9.0000,30.0000
Florencio Varela,22,18.0000,33.0000,7.0000,11.0000,null,33.0000,1.0000,33.0000
Quilmes,0,35.0000,67.0000,15.0000,20.0000,13.0000,54.0000,5.0000,59.0000
Quilmes,1,30.0000,33.0000,12.0000,18.0000,2.0000,31.0000,3.0000,28.0000
Santa Fe,18,29.0000,14.0000,4.0000,25.0000,1.0000,13.0000,10.0000,12.0000
Del Tejar,14,51.0000,163.0000,32.0000,19.0000,14.0000,149.0000,1.0000,159.0000
DISC Echeverria,12,null,22.0000,null,null,null,22.0000,null,11.0000
Villa Luro,4,41.0000,15.0000,12.0000,29.0000,6.0000,9.0000,12.0000,14.0000
Buen Ayre,3,16.0000,17.0000,6.0000,10.0000,2.0000,15.0000,4.0000,11.0000
Quilmes,12,39.0000,160.0000,13.0000,26.0000,11.0000,149.0000,10.0000,107.0000
Amanecer,17,74.0000,120.0000,28.0000,46.0000,null,120.0000,10.0000,120.0000
Alvear,2,88.0000,153.0000,24.0000,64.0000,29.0000,124.0000,21.0000,137.0000
Anchorena,21,null,12.0000,null,null,5.0000,7.0000,null,12.0000
Anchorena,18,null,23.0000,null,null,9.0000,14.0000,null,23.0000
Alsina,17,85.0000,176.0000,37.0000,48.0000,11.0000,165.0000,12.0000,166.0000
Bulnes,14,28.0000,54.0000,14.0000,14.0000,2.0000,52.0000,1.0000,39.0000
Gutierrez,5,125.0000,27.0000,83.0000,42.0000,8.0000,19.0000,10.0000,23.0000
Parque Sarmiento,4,29.0000,4.0000,25.0000,4.0000,1.0000,3.0000,null,3.0000
San Isidro,8,306.0000,213.0000,157.0000,149.0000,58.0000,155.0000,32.0000,199.0000
Disc Panamericana,4,1.0000,null,1.0000,null,null,null,null,null
