estacion,hora,q_cafes_llevar_algo,q_cafes_local_algo,q_cafes_llevar_algo_leche,q_cafes_llevar_algo_otros,q_cafes_local_algo_leche,q_cafes_local_algo_otros
Ovidio Lagos,15,165.0000,617.0000,50.0000,115.0000,66.0000,551.0000
Luis Viale,11,515.0000,1189.0000,103.0000,412.0000,325.0000,864.0000
Rivadavia,18,null,null,null,null,null,null
Alvear,14,378.0000,1420.0000,148.0000,230.0000,481.0000,939.0000
Zarate,3,10.0000,1.0000,6.0000,4.0000,null,1.0000
Las Heras,22,90.0000,75.0000,64.0000,26.0000,14.0000,61.0000
Congreso,9,1387.0000,1428.0000,722.0000,665.0000,302.0000,1126.0000
Alberdi,12,null,63.0000,null,null,null,63.0000
Amanecer,19,202.0000,483.0000,85.0000,117.0000,null,483.0000
Arroyo Seco,9,9406.0000,12137.0000,5354.0000,4052.0000,6041.0000,6096.0000
Floresta,15,156.0000,394.0000,32.0000,124.0000,134.0000,260.0000
Las Heras,0,164.0000,100.0000,115.0000,49.0000,34.0000,66.0000
Bulnes,16,97.0000,430.0000,44.0000,53.0000,87.0000,343.0000
Bonpland,9,1763.0000,3050.0000,1071.0000,692.0000,1588.0000,1462.0000
Dialogos,19,400.0000,746.0000,251.0000,149.0000,361.0000,385.0000
Maipu,6,337.0000,629.0000,217.0000,120.0000,299.0000,330.0000
Emilio Castro,20,92.0000,148.0000,38.0000,54.0000,39.0000,109.0000
Las Heras,20,126.0000,206.0000,79.0000,47.0000,62.0000,144.0000
Buen Ayre,12,724.0000,1371.0000,413.0000,311.0000,457.0000,914.0000
Anchorena,4,null,null,null,null,null,null
CORS EVENTOS,12,45.0000,1.0000,17.0000,28.0000,null,1.0000
Dialogos,4,2.0000,null,null,2.0000,null,null
Lima,11,3226.0000,5053.0000,1389.0000,1837.0000,1612.0000,3441.0000
Luis Viale,21,172.0000,335.0000,54.0000,118.0000,62.0000,273.0000
Arroyo Seco,19,4349.0000,4389.0000,2094.0000,2255.0000,1824.0000,2565.0000
Ovidio Lagos,13,133.0000,554.0000,44.0000,89.0000,73.0000,481.0000
Alsina,2,197.0000,291.0000,35.0000,162.0000,54.0000,237.0000
Villa Allende,1,1.0000,3.0000,1.0000,null,null,3.0000
Santa Rita,3,101.0000,130.0000,14.0000,87.0000,22.0000,108.0000
Gral Paz Capital,6,2800.0000,2007.0000,1762.0000,1038.0000,null,2007.0000
Villa Allende,21,77.0000,227.0000,40.0000,37.0000,55.0000,172.0000
Zarate Brazo Largo,7,788.0000,821.0000,643.0000,145.0000,32.0000,789.0000
Trelles,7,719.0000,984.0000,478.0000,241.0000,410.0000,574.0000
Disc Panamericana,19,23.0000,18.0000,3.0000,20.0000,null,18.0000
Alberdi,15,null,66.0000,null,null,null,66.0000
Villa Allende,8,2383.0000,3138.0000,1794.0000,589.0000,1462.0000,1676.0000
La Bandera,10,546.0000,2464.0000,402.0000,144.0000,660.0000,1804.0000
Trelles,22,79.0000,93.0000,54.0000,25.0000,23.0000,70.0000
Floresta,7,670.0000,1144.0000,258.0000,412.0000,615.0000,529.0000
Floresta,12,182.0000,477.0000,81.0000,101.0000,161.0000,316.0000
America,2,103.0000,125.0000,31.0000,72.0000,null,125.0000
Lima,2,1156.0000,690.0000,410.0000,746.0000,201.0000,489.0000
Florencio Varela,16,271.0000,859.0000,220.0000,51.0000,506.0000,353.0000
Laferrere,5,315.0000,294.0000,149.0000,166.0000,172.0000,122.0000
America,20,112.0000,276.0000,38.0000,74.0000,null,276.0000
Anchorena,17,null,null,null,null,null,null
Libertador,11,734.0000,1337.0000,345.0000,389.0000,514.0000,823.0000
Alvear,17,716.0000,3080.0000,366.0000,350.0000,1371.0000,1709.0000
Fisherton,10,1143.0000,6865.0000,489.0000,654.0000,50.0000,6815.0000
Zarate,10,845.0000,597.0000,544.0000,301.0000,325.0000,272.0000
Parque Sarmiento,15,378.0000,775.0000,120.0000,258.0000,117.0000,658.0000
Villa Allende,20,187.0000,717.0000,105.0000,82.0000,210.0000,507.0000
Alsina,19,404.0000,598.0000,126.0000,278.0000,239.0000,359.0000
AUBASA LP-BA,19,1560.0000,2439.0000,735.0000,825.0000,949.0000,1490.0000
El Arco,14,146.0000,359.0000,88.0000,58.0000,63.0000,296.0000
Boulevard,0,null,null,null,null,null,null
Buen Ayre,1,230.0000,379.0000,100.0000,130.0000,121.0000,258.0000
El Arco,11,620.0000,2156.0000,387.0000,233.0000,800.0000,1356.0000
Centenera,7,655.0000,571.0000,399.0000,256.0000,360.0000,211.0000
El Arco,18,425.0000,1682.0000,248.0000,177.0000,676.0000,1006.0000
Pilar,9,1643.0000,2536.0000,1073.0000,570.0000,923.0000,1613.0000
Santa Fe,9,605.0000,304.0000,367.0000,238.0000,102.0000,202.0000
El Club,8,2131.0000,4757.0000,1251.0000,880.0000,2632.0000,2125.0000
Bonpland,15,395.0000,1242.0000,168.0000,227.0000,369.0000,873.0000
Arroyo Seco,10,7187.0000,9440.0000,3874.0000,3313.0000,4058.0000,5382.0000
Las Heras,7,1056.0000,702.0000,793.0000,263.0000,334.0000,368.0000
Libertador,0,185.0000,276.0000,56.0000,129.0000,63.0000,213.0000
Fisherton,6,1342.0000,1619.0000,744.0000,598.0000,null,1619.0000
Del Tejar,8,1613.0000,1825.0000,1441.0000,172.0000,1013.0000,812.0000
Libertador,13,233.0000,718.0000,90.0000,143.0000,215.0000,503.0000
America,16,281.0000,800.0000,96.0000,185.0000,null,800.0000
Laferrere,22,61.0000,230.0000,23.0000,38.0000,70.0000,160.0000
Bonpland,21,208.0000,533.0000,123.0000,85.0000,109.0000,424.0000
Parque Sarmiento,22,141.0000,103.0000,130.0000,11.0000,25.0000,78.0000
Alsina,15,382.0000,527.0000,99.0000,283.0000,198.0000,329.0000
Trelles,0,79.0000,183.0000,40.0000,39.0000,43.0000,140.0000
Luis Viale,1,167.0000,264.0000,25.0000,142.0000,29.0000,235.0000
Olivos,3,143.0000,153.0000,124.0000,19.0000,101.0000,52.0000
AUBASA BA-LP,6,3794.0000,3844.0000,2239.0000,1555.0000,2199.0000,1645.0000
Zarate Brazo Largo,5,519.0000,304.0000,405.0000,114.0000,24.0000,280.0000
Alvear,3,269.0000,652.0000,121.0000,148.0000,252.0000,400.0000
Cabildo,16,125.0000,179.0000,48.0000,77.0000,47.0000,132.0000
Maschwitz,22,null,2.0000,null,null,null,2.0000
Luis Viale,4,177.0000,340.0000,41.0000,136.0000,51.0000,289.0000
Disc Panamericana,8,101.0000,50.0000,4.0000,97.0000,null,50.0000
Alvear,21,236.0000,769.0000,77.0000,159.0000,234.0000,535.0000
Gral Paz Capital,16,1077.0000,1811.0000,692.0000,385.0000,null,1811.0000
Florencio Varela,20,119.0000,255.0000,98.0000,21.0000,142.0000,113.0000
Olivos,23,116.0000,235.0000,107.0000,9.0000,61.0000,174.0000
Villa Allende,6,867.0000,1282.0000,667.0000,200.0000,625.0000,657.0000
El Arco,12,265.0000,1025.0000,151.0000,114.0000,344.0000,681.0000
Pilar,16,350.0000,810.0000,158.0000,192.0000,226.0000,584.0000
Garay,22,102.0000,163.0000,39.0000,63.0000,41.0000,122.0000
Bulnes,0,null,null,null,null,null,null
Alvear,16,616.0000,2700.0000,283.0000,333.0000,1028.0000,1672.0000
Gutierrez,12,173.0000,410.0000,75.0000,98.0000,127.0000,283.0000
DISC Echeverria,22,null,31.0000,null,null,null,31.0000
Quilmes,4,203.0000,173.0000,74.0000,129.0000,76.0000,97.0000
Gral Paz Capital,1,567.0000,506.0000,456.0000,111.0000,null,506.0000
Santa Rita,15,152.0000,757.0000,9.0000,143.0000,36.0000,721.0000
Ovidio Lagos,21,36.0000,187.0000,8.0000,28.0000,28.0000,159.0000
Disc Panamericana,3,9.0000,null,3.0000,6.0000,null,null
La Bandera,1,null,null,null,null,null,null
La Carmela,4,330.0000,225.0000,163.0000,167.0000,122.0000,103.0000
Santa Fe,8,717.0000,325.0000,421.0000,296.0000,125.0000,200.0000
Villa Luro,5,1091.0000,1219.0000,553.0000,538.0000,705.0000,514.0000
Congreso,5,567.0000,260.0000,193.0000,374.0000,71.0000,189.0000
Emilio Castro,22,88.0000,33.0000,35.0000,53.0000,7.0000,26.0000
Pilar,12,370.0000,615.0000,238.0000,132.0000,230.0000,385.0000
Garay,16,307.0000,1168.0000,111.0000,196.0000,308.0000,860.0000
Mitre,19,null,null,null,null,null,null
Mitre,10,null,null,null,null,null,null
Libertador,18,663.0000,1831.0000,324.0000,339.0000,882.0000,949.0000
Garay,15,210.0000,806.0000,67.0000,143.0000,206.0000,600.0000
Amanecer,14,146.0000,482.0000,69.0000,77.0000,null,482.0000
Laferrere,23,108.0000,238.0000,40.0000,68.0000,69.0000,169.0000
Garay,23,109.0000,170.0000,54.0000,55.0000,39.0000,131.0000
Pilar,10,1334.0000,2051.0000,873.0000,461.0000,720.0000,1331.0000
Pilar,17,453.0000,993.0000,217.0000,236.0000,292.0000,701.0000
Pilar,15,227.0000,668.0000,114.0000,113.0000,180.0000,488.0000
Centenera,21,32.0000,44.0000,18.0000,14.0000,9.0000,35.0000
Maschwitz,8,null,426.0000,null,null,null,426.0000
Gral Paz Provincia,11,1630.0000,2924.0000,809.0000,821.0000,1121.0000,1803.0000
Alberdi,8,null,194.0000,null,null,null,194.0000
El Arco,2,null,null,null,null,null,null
Anchorena,23,null,null,null,null,null,null
Gral Paz Provincia,15,729.0000,1720.0000,325.0000,404.0000,553.0000,1167.0000
Cabildo,21,78.0000,44.0000,32.0000,46.0000,18.0000,26.0000
Laferrere,13,66.0000,298.0000,33.0000,33.0000,105.0000,193.0000
Dialogos,13,175.0000,339.0000,95.0000,80.0000,167.0000,172.0000
Centenera,3,29.0000,26.0000,22.0000,7.0000,12.0000,14.0000
Santa Rita,18,239.0000,893.0000,32.0000,207.0000,83.0000,810.0000
Buen Ayre,21,160.0000,400.0000,78.0000,82.0000,132.0000,268.0000
Parque Sarmiento,9,1492.0000,1622.0000,1022.0000,470.0000,436.0000,1186.0000
Floresta,21,79.0000,170.0000,20.0000,59.0000,35.0000,135.0000
DISC Echeverria,14,null,14.0000,null,null,null,14.0000
Villa Luro,19,514.0000,1386.0000,259.0000,255.0000,508.0000,878.0000
Rosario Sur,12,null,null,null,null,null,null
AUBASA LP-BA,23,461.0000,403.0000,174.0000,287.0000,102.0000,301.0000
Laferrere,11,291.0000,683.0000,169.0000,122.0000,304.0000,379.0000
La Carmela,13,157.0000,153.0000,71.0000,86.0000,46.0000,107.0000
Rosario Sur,6,null,null,null,null,null,null
Olivos,21,111.0000,223.0000,90.0000,21.0000,78.0000,145.0000
Alberdi,5,null,50.0000,null,null,null,50.0000
Buen Ayre,6,1906.0000,1509.0000,1371.0000,535.0000,846.0000,663.0000
CORS EVENTOS,11,176.0000,null,84.0000,92.0000,null,null
San Isidro,19,319.0000,987.0000,134.0000,185.0000,340.0000,647.0000
Emilio Castro,2,105.0000,53.0000,49.0000,56.0000,15.0000,38.0000
Dialogos,14,278.0000,393.0000,186.0000,92.0000,156.0000,237.0000
El Arco,0,null,null,null,null,null,null
Anchorena,16,null,null,null,null,null,null
Anchorena,0,null,null,null,null,null,null
Dialogos,6,1061.0000,926.0000,653.0000,408.0000,547.0000,379.0000
Libertador,4,337.0000,384.0000,176.0000,161.0000,175.0000,209.0000
Olivos,19,267.0000,641.0000,228.0000,39.0000,230.0000,411.0000
Boulevard,11,535.0000,1936.0000,277.0000,258.0000,533.0000,1403.0000
La Carmela,11,349.0000,427.0000,205.0000,144.0000,136.0000,291.0000
Alvear,10,1116.0000,3808.0000,625.0000,491.0000,1735.0000,2073.0000
Villa Luro,7,2462.0000,2273.0000,1242.0000,1220.0000,1270.0000,1003.0000
Alsina,10,710.0000,1217.0000,286.0000,424.0000,443.0000,774.0000
Rosario Sur,4,null,null,null,null,null,null
Fisherton,11,542.0000,4842.0000,195.0000,347.0000,null,4842.0000
Disc Panamericana,14,16.0000,21.0000,5.0000,11.0000,1.0000,20.0000
Parque Sarmiento,1,136.0000,56.0000,119.0000,17.0000,16.0000,40.0000
Boulevard,10,824.0000,2840.0000,411.0000,413.0000,1030.0000,1810.0000
CORS EVENTOS,14,122.0000,2.0000,34.0000,88.0000,null,2.0000
Villa Allende,11,692.0000,2508.0000,553.0000,139.0000,730.0000,1778.0000
Libertador,20,255.0000,572.0000,82.0000,173.0000,257.0000,315.0000
Parque Sarmiento,0,196.0000,69.0000,161.0000,35.0000,6.0000,63.0000
Villa Luro,8,2541.0000,3568.0000,1381.0000,1160.0000,2068.0000,1500.0000
Villa Allende,23,1.0000,null,null,1.0000,null,null
El Club,14,373.0000,1559.0000,145.0000,228.0000,394.0000,1165.0000
Dialogos,22,101.0000,106.0000,54.0000,47.0000,39.0000,67.0000
Libertador,22,122.0000,199.0000,35.0000,87.0000,60.0000,139.0000
Floresta,16,297.0000,651.0000,122.0000,175.0000,216.0000,435.0000
Centenera,6,537.0000,350.0000,341.0000,196.0000,244.0000,106.0000
Zarate Brazo Largo,9,669.0000,837.0000,539.0000,130.0000,36.0000,801.0000
Fisherton,9,1452.0000,6105.0000,630.0000,822.0000,null,6105.0000
Emilio Castro,3,109.0000,56.0000,44.0000,65.0000,24.0000,32.0000
Pilar,19,366.0000,645.0000,164.0000,202.0000,194.0000,451.0000
Anchorena,20,null,null,null,null,null,null
Villa Allende,3,3.0000,19.0000,3.0000,null,9.0000,10.0000
Boulevard,4,null,null,null,null,null,null
DISC Caraffa,3,null,null,null,null,null,null
Gral Paz Provincia,3,708.0000,601.0000,353.0000,355.0000,249.0000,352.0000
Maipu,9,439.0000,1000.0000,250.0000,189.0000,337.0000,663.0000
AUBASA BA-LP,17,2507.0000,4191.0000,1199.0000,1308.0000,2023.0000,2168.0000
Alsina,1,156.0000,310.0000,26.0000,130.0000,60.0000,250.0000
Laferrere,17,150.0000,536.0000,100.0000,50.0000,256.0000,280.0000
Los Incas,1,81.0000,4.0000,65.0000,16.0000,null,4.0000
AUBASA LP-BA,10,2824.0000,4300.0000,1494.0000,1330.0000,2048.0000,2252.0000
Buen Ayre,5,987.0000,835.0000,555.0000,432.0000,415.0000,420.0000
Olivos,9,1180.0000,1296.0000,1093.0000,87.0000,593.0000,703.0000
AUBASA BA-LP,7,4850.0000,6081.0000,2977.0000,1873.0000,3585.0000,2496.0000
AUBASA BA-LP,10,3863.0000,5966.0000,2056.0000,1807.0000,2896.0000,3070.0000
La Carmela,7,1584.0000,1354.0000,938.0000,646.0000,691.0000,663.0000
Mitre,18,null,null,null,null,null,null
Los Incas,20,112.0000,2.0000,89.0000,23.0000,null,2.0000
Bonpland,23,167.0000,485.0000,77.0000,90.0000,134.0000,351.0000
Quilmes,6,709.0000,746.0000,406.0000,303.0000,415.0000,331.0000
America,3,112.0000,100.0000,42.0000,70.0000,null,100.0000
Fisherton,3,18.0000,59.0000,null,18.0000,null,59.0000
Gral Paz Capital,10,3098.0000,4205.0000,1806.0000,1292.0000,null,4205.0000
Bonpland,10,1114.0000,2963.0000,609.0000,505.0000,1283.0000,1680.0000
Gral Paz Provincia,17,1490.0000,2672.0000,815.0000,675.0000,1200.0000,1472.0000
Del Tejar,0,188.0000,300.0000,114.0000,74.0000,64.0000,236.0000
Zarate,9,1050.0000,638.0000,719.0000,331.0000,379.0000,259.0000
DISC Echeverria,6,null,139.0000,null,null,null,139.0000
Floresta,9,596.0000,790.0000,231.0000,365.0000,298.0000,492.0000
AUBASA BA-LP,16,2104.0000,3332.0000,813.0000,1291.0000,1353.0000,1979.0000
DISC Caraffa,20,10.0000,121.0000,null,10.0000,25.0000,96.0000
Garay,18,452.0000,1190.0000,170.0000,282.0000,277.0000,913.0000
Zarate,22,91.0000,33.0000,47.0000,44.0000,7.0000,26.0000
Laferrere,1,124.0000,199.0000,45.0000,79.0000,68.0000,131.0000
Arroyo Seco,17,6243.0000,7053.0000,2868.0000,3375.0000,2421.0000,4632.0000
Trelles,23,71.0000,96.0000,41.0000,30.0000,18.0000,78.0000
Santa Fe,12,96.0000,50.0000,37.0000,59.0000,12.0000,38.0000
Congreso,10,1059.0000,1337.0000,529.0000,530.0000,279.0000,1058.0000
Maschwitz,18,null,185.0000,null,null,null,185.0000
Las Heras,15,267.0000,306.0000,140.0000,127.0000,105.0000,201.0000
Las Heras,21,83.0000,113.0000,48.0000,35.0000,46.0000,67.0000
Pilar,14,174.0000,413.0000,81.0000,93.0000,90.0000,323.0000
AUBASA LP-BA,18,2201.0000,3876.0000,1119.0000,1082.0000,1874.0000,2002.0000
Boulevard,15,209.0000,1002.0000,101.0000,108.0000,223.0000,779.0000
Quilmes,17,399.0000,1080.0000,218.0000,181.0000,508.0000,572.0000
Del Tejar,16,430.0000,951.0000,321.0000,109.0000,395.0000,556.0000
Trelles,13,168.0000,499.0000,102.0000,66.0000,176.0000,323.0000
DISC Echeverria,8,null,118.0000,null,null,null,118.0000
Congreso,7,1376.0000,853.0000,608.0000,768.0000,213.0000,640.0000
Alsina,3,162.0000,261.0000,20.0000,142.0000,37.0000,224.0000
Parque Sarmiento,5,524.0000,148.0000,478.0000,46.0000,16.0000,132.0000
Rivadavia,7,null,null,null,null,null,null
Luis Viale,17,354.0000,1197.0000,165.0000,189.0000,308.0000,889.0000
Cabildo,8,397.0000,398.0000,291.0000,106.0000,113.0000,285.0000
Libertador,9,1444.0000,2062.0000,745.0000,699.0000,1049.0000,1013.0000
Gral Paz Provincia,20,618.0000,1190.0000,301.0000,317.0000,509.0000,681.0000
Florencio Varela,14,191.0000,568.0000,146.0000,45.0000,236.0000,332.0000
Amanecer,1,91.0000,123.0000,38.0000,53.0000,null,123.0000
Alberdi,7,null,200.0000,null,null,null,200.0000
Buen Ayre,4,305.0000,277.0000,169.0000,136.0000,103.0000,174.0000
Boulevard,20,95.0000,249.0000,51.0000,44.0000,57.0000,192.0000
Congreso,4,204.0000,129.0000,69.0000,135.0000,40.0000,89.0000
Libertador,3,121.0000,174.0000,47.0000,74.0000,77.0000,97.0000
Las Heras,11,471.0000,603.0000,275.0000,196.0000,191.0000,412.0000
Libertador,23,140.0000,226.0000,43.0000,97.0000,47.0000,179.0000
Alsina,20,341.0000,404.0000,74.0000,267.0000,132.0000,272.0000
Emilio Castro,23,86.0000,43.0000,29.0000,57.0000,14.0000,29.0000
El Arco,15,175.0000,538.0000,76.0000,99.0000,100.0000,438.0000
Rivadavia,12,null,null,null,null,null,null
Florencio Varela,12,226.0000,715.0000,89.0000,137.0000,344.0000,371.0000
Bonpland,0,204.0000,426.0000,89.0000,115.0000,110.0000,316.0000
DISC Echeverria,1,null,50.0000,null,null,null,50.0000
Anchorena,1,null,null,null,null,null,null
CORS EVENTOS,16,400.0000,6.0000,161.0000,239.0000,null,6.0000
Florencio Varela,8,1668.0000,2710.0000,904.0000,764.0000,1615.0000,1095.0000
Gral Paz Provincia,5,2326.0000,1722.0000,1225.0000,1101.0000,819.0000,903.0000
Alvear,5,738.0000,1258.0000,406.0000,332.0000,616.0000,642.0000
Garay,8,1061.0000,1932.0000,629.0000,432.0000,693.0000,1239.0000
Maschwitz,1,null,57.0000,null,null,null,57.0000
Rivadavia,14,null,null,null,null,null,null
Ovidio Lagos,4,34.0000,110.0000,11.0000,23.0000,31.0000,79.0000
Villa Luro,1,205.0000,406.0000,77.0000,128.0000,114.0000,292.0000
Laferrere,12,134.0000,462.0000,68.0000,66.0000,172.0000,290.0000
Ovidio Lagos,18,267.0000,988.0000,74.0000,193.0000,146.0000,842.0000
Ovidio Lagos,7,584.0000,1119.0000,145.0000,439.0000,266.0000,853.0000
CORS EVENTOS,8,306.0000,1.0000,144.0000,162.0000,null,1.0000
DISC Caraffa,5,1.0000,1.0000,1.0000,null,null,1.0000
CORS EVENTOS,21,null,null,null,null,null,null
Pilar,18,531.0000,1003.0000,267.0000,264.0000,339.0000,664.0000
El Club,21,213.0000,583.0000,95.0000,118.0000,204.0000,379.0000
America,22,74.0000,136.0000,28.0000,46.0000,null,136.0000
Florencio Varela,10,749.0000,2015.0000,355.0000,394.0000,1136.0000,879.0000
DISC Echeverria,5,null,192.0000,null,null,null,192.0000
Rivadavia,9,null,null,null,null,null,null
Santa Rita,9,462.0000,1162.0000,71.0000,391.0000,167.0000,995.0000
Trelles,12,194.0000,541.0000,117.0000,77.0000,196.0000,345.0000
Arroyo Seco,16,5178.0000,5652.0000,2176.0000,3002.0000,1539.0000,4113.0000
Cabildo,17,152.0000,168.0000,62.0000,90.0000,69.0000,99.0000
Emilio Castro,10,590.0000,525.0000,274.0000,316.0000,203.0000,322.0000
Luis Viale,16,341.0000,1187.0000,149.0000,192.0000,241.0000,946.0000
Centenera,9,617.0000,1211.0000,390.0000,227.0000,448.0000,763.0000
El Club,2,229.0000,420.0000,72.0000,157.0000,111.0000,309.0000
DISC Echeverria,3,null,32.0000,null,null,null,32.0000
Floresta,3,91.0000,133.0000,17.0000,74.0000,41.0000,92.0000
Pilar,8,2203.0000,2318.0000,1400.0000,803.0000,976.0000,1342.0000
Gral Paz Capital,11,1842.0000,2854.0000,1068.0000,774.0000,null,2854.0000
El Club,9,1833.0000,4919.0000,1051.0000,782.0000,2663.0000,2256.0000
El Arco,5,3.0000,1.0000,3.0000,null,1.0000,null
Arroyo Seco,0,1209.0000,764.0000,561.0000,648.0000,372.0000,392.0000
Santa Fe,3,null,null,null,null,null,null
Maschwitz,21,null,25.0000,null,null,null,25.0000
Garay,5,295.0000,305.0000,125.0000,170.0000,87.0000,218.0000
Trelles,16,263.0000,558.0000,120.0000,143.0000,220.0000,338.0000
Gral Paz Provincia,8,4353.0000,4823.0000,2666.0000,1687.0000,2690.0000,2133.0000
Zarate Brazo Largo,4,195.0000,149.0000,155.0000,40.0000,2.0000,147.0000
Fisherton,4,12.0000,94.0000,null,12.0000,null,94.0000
El Club,11,924.0000,3280.0000,502.0000,422.0000,1359.0000,1921.0000
Congreso,17,602.0000,1194.0000,244.0000,358.0000,196.0000,998.0000
Laferrere,15,78.0000,325.0000,49.0000,29.0000,113.0000,212.0000
Zarate,19,314.0000,178.0000,236.0000,78.0000,86.0000,92.0000
Garay,11,637.0000,1483.0000,335.0000,302.0000,520.0000,963.0000
Cabildo,5,84.0000,55.0000,50.0000,34.0000,32.0000,23.0000
Las Heras,10,799.0000,652.0000,530.0000,269.0000,260.0000,392.0000
Rosario Sur,3,null,null,null,null,null,null
Buen Ayre,23,237.0000,353.0000,96.0000,141.0000,83.0000,270.0000
CORS EVENTOS,10,367.0000,6.0000,166.0000,201.0000,null,6.0000
Centenera,8,686.0000,805.0000,410.0000,276.0000,496.0000,309.0000
El Club,10,1363.0000,4773.0000,779.0000,584.0000,2233.0000,2540.0000
San Isidro,1,185.0000,221.0000,67.0000,118.0000,62.0000,159.0000
San Isidro,0,183.0000,286.0000,84.0000,99.0000,78.0000,208.0000
Emilio Castro,21,62.0000,72.0000,16.0000,46.0000,20.0000,52.0000
Los Incas,15,186.0000,4.0000,125.0000,61.0000,null,4.0000
Libertador,2,177.0000,222.0000,41.0000,136.0000,90.0000,132.0000
Las Heras,16,432.0000,441.0000,252.0000,180.0000,155.0000,286.0000
Alberdi,11,null,99.0000,null,null,null,99.0000
Ovidio Lagos,11,387.0000,1324.0000,99.0000,288.0000,178.0000,1146.0000
Del Tejar,9,1678.0000,1935.0000,1446.0000,232.0000,971.0000,964.0000
Anchorena,13,null,null,null,null,null,null
Florencio Varela,1,78.0000,184.0000,13.0000,65.0000,41.0000,143.0000
Buen Ayre,8,3265.0000,4592.0000,2311.0000,954.0000,2666.0000,1926.0000
Bulnes,17,118.0000,534.0000,59.0000,59.0000,155.0000,379.0000
Lima,21,1128.0000,1041.0000,438.0000,690.0000,322.0000,719.0000
Centenera,23,29.0000,36.0000,17.0000,12.0000,23.0000,13.0000
Rosario Sur,0,null,null,null,null,null,null
Bulnes,15,93.0000,276.0000,48.0000,45.0000,57.0000,219.0000
Parque Sarmiento,11,643.0000,1201.0000,447.0000,196.0000,249.0000,952.0000
Mitre,13,null,null,null,null,null,null
El Arco,3,null,null,null,null,null,null
Rosario Sur,7,null,null,null,null,null,null
Villa Allende,19,385.0000,1332.0000,240.0000,145.0000,455.0000,877.0000
Alberdi,18,null,87.0000,null,null,null,87.0000
Zarate,12,338.0000,289.0000,184.0000,154.0000,138.0000,151.0000
DISC Echeverria,15,null,14.0000,null,null,null,14.0000
Del Tejar,10,1147.0000,1604.0000,1014.0000,133.0000,705.0000,899.0000
Gutierrez,7,814.0000,960.0000,391.0000,423.0000,460.0000,500.0000
AUBASA LP-BA,8,4722.0000,4100.0000,2725.0000,1997.0000,2169.0000,1931.0000
Lima,22,1044.0000,780.0000,393.0000,651.0000,190.0000,590.0000
Gutierrez,20,122.0000,214.0000,49.0000,73.0000,62.0000,152.0000
Santa Rita,14,159.0000,533.0000,15.0000,144.0000,24.0000,509.0000
Zarate Brazo Largo,15,241.0000,262.0000,179.0000,62.0000,21.0000,241.0000
Dialogos,7,1605.0000,1535.0000,1030.0000,575.0000,848.0000,687.0000
Alberdi,6,null,204.0000,null,null,null,204.0000
Rivadavia,20,null,null,null,null,null,null
America,0,105.0000,168.0000,30.0000,75.0000,null,168.0000
CORS EVENTOS,13,43.0000,null,16.0000,27.0000,null,null
Disc Panamericana,1,5.0000,null,1.0000,4.0000,null,null
Villa Allende,4,4.0000,4.0000,2.0000,2.0000,1.0000,3.0000
DISC Caraffa,1,null,1.0000,null,null,null,1.0000
CORS EVENTOS,18,6.0000,null,4.0000,2.0000,null,null
Gutierrez,13,127.0000,363.0000,51.0000,76.0000,125.0000,238.0000
Lima,18,4833.0000,5190.0000,2111.0000,2722.0000,1701.0000,3489.0000
Alsina,13,206.0000,504.0000,63.0000,143.0000,169.0000,335.0000
Alvear,6,1707.0000,3621.0000,1101.0000,606.0000,1983.0000,1638.0000
Cabildo,22,44.0000,26.0000,29.0000,15.0000,5.0000,21.0000
Villa Luro,18,680.0000,2101.0000,313.0000,367.0000,833.0000,1268.0000
Los Incas,21,66.0000,2.0000,50.0000,16.0000,null,2.0000
Zarate Brazo Largo,12,153.0000,282.0000,118.0000,35.0000,4.0000,278.0000
Floresta,23,91.0000,102.0000,18.0000,73.0000,22.0000,80.0000
Gutierrez,4,265.0000,219.0000,166.0000,99.0000,104.0000,115.0000
El Arco,7,1713.0000,1668.0000,995.0000,718.0000,864.0000,804.0000
Dialogos,5,21.0000,35.0000,13.0000,8.0000,11.0000,24.0000
Ovidio Lagos,3,34.0000,112.0000,6.0000,28.0000,33.0000,79.0000
La Bandera,7,731.0000,1853.0000,573.0000,158.0000,748.0000,1105.0000
DISC Echeverria,21,null,40.0000,null,null,null,40.0000
Garay,14,131.0000,689.0000,45.0000,86.0000,166.0000,523.0000
DISC Caraffa,22,1.0000,20.0000,null,1.0000,3.0000,17.0000
Floresta,14,101.0000,377.0000,24.0000,77.0000,125.0000,252.0000
Quilmes,5,362.0000,316.0000,210.0000,152.0000,204.0000,112.0000
Villa Allende,10,1333.0000,3167.0000,996.0000,337.0000,1198.0000,1969.0000
Amanecer,9,1243.0000,1324.0000,605.0000,638.0000,null,1324.0000
Villa Luro,17,770.0000,2252.0000,369.0000,401.0000,822.0000,1430.0000
Boulevard,18,387.0000,1426.0000,232.0000,155.0000,556.0000,870.0000
Villa Allende,18,412.0000,1552.0000,251.0000,161.0000,526.0000,1026.0000
Bulnes,9,483.0000,1053.0000,293.0000,190.0000,489.0000,564.0000
Amanecer,4,198.0000,187.0000,60.0000,138.0000,null,187.0000
Mitre,21,null,null,null,null,null,null
Ovidio Lagos,5,62.0000,187.0000,15.0000,47.0000,62.0000,125.0000
Congreso,19,296.0000,505.0000,117.0000,179.0000,84.0000,421.0000
Garay,19,322.0000,935.0000,110.0000,212.0000,198.0000,737.0000
