estacion,hora,q_cafes_llevar_algo_otros_sinbakery_negro_choco,q_cafes_local_algo_otros_sinbakery_negro_choco
Cabildo,16,null,8.0000
Luis Viale,4,1.0000,1.0000
Gral Paz Capital,16,17.0000,null
Florencio Varela,20,null,null
Pilar,16,5.0000,null
Olivos,23,null,9.0000
Alvear,21,2.0000,14.0000
Garay,22,null,4.0000
El Arco,12,5.0000,11.0000
Villa Allende,6,2.0000,38.0000
Ovidio Lagos,21,null,null
Alvear,16,8.0000,13.0000
Gutierrez,12,2.0000,4.0000
DISC Echeverria,22,null,1.0000
Santa Rita,15,null,5.0000
Gral Paz Capital,1,7.0000,null
Quilmes,4,1.0000,null
Villa Luro,5,10.0000,2.0000
Congreso,5,null,null
Santa Fe,8,null,null
La Carmela,4,4.0000,null
Emilio Castro,22,4.0000,1.0000
Pilar,12,1.0000,null
Garay,16,null,4.0000
Pilar,17,3.0000,null
Libertador,18,20.0000,45.0000
Amanecer,14,1.0000,null
Centenera,21,null,null
Pilar,10,1.0000,null
Laferrere,23,3.0000,3.0000
Pilar,15,2.0000,null
Garay,15,2.0000,10.0000
Garay,23,1.0000,1.0000
Gral Paz Provincia,11,1.0000,8.0000
Laferrere,13,null,5.0000
Gral Paz Provincia,15,16.0000,31.0000
Cabildo,21,null,3.0000
Dialogos,13,null,2.0000
Buen Ayre,21,12.0000,9.0000
Santa Rita,18,null,1.0000
DISC Echeverria,14,null,null
Floresta,21,1.0000,null
Parque Sarmiento,9,31.0000,25.0000
La Carmela,13,9.0000,null
Villa Luro,19,14.0000,27.0000
Laferrere,11,null,6.0000
AUBASA LP-BA,23,13.0000,13.0000
Olivos,21,2.0000,2.0000
Buen Ayre,6,9.0000,3.0000
Alberdi,5,null,null
Dialogos,14,1.0000,1.0000
Emilio Castro,2,5.0000,4.0000
San Isidro,19,5.0000,7.0000
Libertador,4,6.0000,9.0000
Alvear,10,5.0000,8.0000
Olivos,19,1.0000,6.0000
Villa Luro,7,5.0000,3.0000
Alsina,10,1.0000,null
Boulevard,11,null,11.0000
La Carmela,11,5.0000,null
Parque Sarmiento,1,4.0000,3.0000
Boulevard,10,1.0000,11.0000
Fisherton,11,2.0000,18.0000
Libertador,20,11.0000,23.0000
Villa Allende,11,5.0000,73.0000
Parque Sarmiento,0,3.0000,6.0000
Villa Luro,8,3.0000,6.0000
Dialogos,22,3.0000,null
Libertador,22,9.0000,14.0000
Floresta,16,2.0000,null
El Club,14,7.0000,55.0000
Pilar,19,2.0000,null
Fisherton,9,2.0000,3.0000
Emilio Castro,3,8.0000,null
Zarate Brazo Largo,9,null,null
AUBASA BA-LP,17,37.0000,20.0000
Laferrere,17,1.0000,11.0000
Alsina,1,1.0000,null
Maipu,9,null,null
Gral Paz Provincia,3,3.0000,3.0000
AUBASA LP-BA,10,14.0000,7.0000
Los Incas,1,null,null
Buen Ayre,5,9.0000,null
Quilmes,6,2.0000,2.0000
Bonpland,23,2.0000,12.0000
Olivos,9,null,null
Los Incas,20,3.0000,null
AUBASA BA-LP,10,24.0000,17.0000
La Carmela,7,2.0000,null
AUBASA BA-LP,7,7.0000,5.0000
Gral Paz Provincia,17,14.0000,14.0000
Del Tejar,0,1.0000,null
Zarate,9,2.0000,2.0000
Bonpland,10,2.0000,2.0000
Gral Paz Capital,10,12.0000,null
DISC Caraffa,20,null,null
Garay,18,null,3.0000
AUBASA BA-LP,16,37.0000,47.0000
Zarate,22,null,2.0000
Laferrere,1,4.0000,7.0000
Floresta,9,null,null
Congreso,10,1.0000,null
Arroyo Seco,17,56.0000,111.0000
Santa Fe,12,2.0000,null
Maschwitz,18,null,1.0000
Trelles,23,4.0000,9.0000
Las Heras,21,1.0000,5.0000
Las Heras,15,2.0000,2.0000
AUBASA LP-BA,18,26.0000,31.0000
Pilar,14,2.0000,null
Quilmes,17,2.0000,13.0000
Del Tejar,16,2.0000,4.0000
Boulevard,15,6.0000,18.0000
Trelles,13,4.0000,15.0000
Parque Sarmiento,5,null,5.0000
Congreso,7,null,1.0000
Alsina,3,3.0000,null
Libertador,9,18.0000,40.0000
Florencio Varela,14,1.0000,null
Luis Viale,17,3.0000,23.0000
Amanecer,1,4.0000,null
Gral Paz Provincia,20,3.0000,20.0000
Alberdi,7,null,null
Alberdi,3,null,null
Villa Allende,5,null,14.0000
Maipu,6,null,null
Santa Rita,3,null,null
Disc Panamericana,3,null,null
Fisherton,6,1.0000,null
Maschwitz,22,null,null
Bulnes,0,null,null
Maschwitz,8,null,1.0000
Centenera,3,2.0000,null
Dialogos,6,1.0000,null
Centenera,6,4.0000,null
America,3,2.0000,null
Fisherton,3,null,null
DISC Echeverria,8,null,1.0000
Cabildo,8,null,5.0000
Alberdi,8,null,null
Disc Panamericana,14,null,null
Buen Ayre,4,3.0000,1.0000
Zarate,3,null,null
DISC Echeverria,6,null,null
Anchorena,17,null,null
El Arco,0,null,null
Disc Panamericana,8,null,null
DISC Caraffa,5,null,null
Rosario Sur,4,null,null
Villa Allende,1,null,null
Rosario Sur,12,null,null
Anchorena,0,null,null
Villa Allende,23,null,null
Disc Panamericana,10,null,null
Anchorena,23,null,null
Rosario Sur,6,null,null
Anchorena,16,null,null
Rivadavia,18,null,null
Villa Allende,3,null,2.0000
Anchorena,20,null,null
DISC Caraffa,3,null,null
Rivadavia,7,null,null
Anchorena,4,null,null
Boulevard,20,null,5.0000
Libertador,3,3.0000,18.0000
Alsina,20,3.0000,1.0000
Emilio Castro,23,5.0000,4.0000
Las Heras,11,null,4.0000
Libertador,23,20.0000,45.0000
El Arco,15,2.0000,24.0000
Bonpland,0,9.0000,11.0000
Florencio Varela,12,3.0000,4.0000
Garay,8,null,3.0000
Gral Paz Provincia,5,2.0000,3.0000
Maschwitz,1,null,3.0000
Florencio Varela,8,null,1.0000
Ovidio Lagos,4,null,null
Alvear,5,4.0000,2.0000
Laferrere,12,2.0000,3.0000
Ovidio Lagos,18,null,null
Villa Luro,1,6.0000,18.0000
America,22,2.0000,null
Pilar,18,5.0000,null
DISC Echeverria,5,null,3.0000
El Club,21,5.0000,19.0000
Florencio Varela,10,1.0000,2.0000
Santa Rita,9,null,4.0000
Luis Viale,16,5.0000,26.0000
El Club,2,8.0000,11.0000
Cabildo,17,1.0000,8.0000
Arroyo Seco,16,93.0000,218.0000
Emilio Castro,10,null,null
Floresta,3,2.0000,null
Trelles,12,null,7.0000
Centenera,9,2.0000,null
Arroyo Seco,0,30.0000,27.0000
Pilar,8,3.0000,null
Gral Paz Capital,11,7.0000,null
Gral Paz Provincia,8,5.0000,2.0000
Maschwitz,21,null,2.0000
Trelles,16,6.0000,16.0000
Zarate Brazo Largo,4,null,null
El Club,11,3.0000,14.0000
Zarate,19,1.0000,null
Laferrere,15,1.0000,18.0000
Congreso,17,2.0000,null
Disc Panamericana,1,null,null
Garay,11,null,8.0000
Las Heras,10,3.0000,2.0000
Cabildo,5,2.0000,1.0000
Buen Ayre,23,8.0000,17.0000
Emilio Castro,21,3.0000,null
Libertador,2,14.0000,15.0000
San Isidro,0,3.0000,4.0000
El Club,10,8.0000,12.0000
Los Incas,15,4.0000,null
San Isidro,1,5.0000,4.0000
Centenera,8,4.0000,null
Las Heras,16,12.0000,4.0000
Alberdi,11,null,null
Del Tejar,9,null,null
Florencio Varela,1,3.0000,null
Ovidio Lagos,11,null,null
Buen Ayre,8,3.0000,5.0000
Bulnes,17,2.0000,5.0000
Lima,21,39.0000,13.0000
Parque Sarmiento,11,12.0000,31.0000
Centenera,23,2.0000,1.0000
Bulnes,15,2.0000,4.0000
Alberdi,18,null,null
Del Tejar,10,null,null
Zarate,12,1.0000,null
Villa Allende,19,3.0000,37.0000
America,0,6.0000,null
Gutierrez,20,5.0000,7.0000
Gutierrez,7,null,null
Zarate Brazo Largo,15,null,null
Alberdi,6,null,null
AUBASA LP-BA,8,22.0000,4.0000
Dialogos,7,4.0000,null
Santa Rita,14,null,1.0000
Lima,22,46.0000,20.0000
Gutierrez,13,4.0000,10.0000
Lima,18,88.0000,55.0000
Villa Luro,18,4.0000,43.0000
Gutierrez,4,1.0000,1.0000
Alsina,13,2.0000,null
Alvear,6,5.0000,4.0000
Cabildo,22,1.0000,3.0000
Zarate Brazo Largo,12,null,null
Floresta,23,1.0000,null
Los Incas,21,1.0000,null
El Arco,7,1.0000,3.0000
DISC Caraffa,22,null,null
Garay,14,null,4.0000
Floresta,14,2.0000,null
DISC Echeverria,21,null,null
Quilmes,5,2.0000,null
La Bandera,7,null,2.0000
Villa Luro,17,10.0000,31.0000
Villa Allende,10,5.0000,40.0000
Boulevard,18,4.0000,2.0000
Villa Allende,18,5.0000,32.0000
Amanecer,9,5.0000,null
Ovidio Lagos,5,null,null
Amanecer,4,null,null
AUBASA LP-BA,11,21.0000,21.0000
Congreso,19,null,1.0000
Garay,19,null,9.0000
Bonpland,2,4.0000,6.0000
Zarate Brazo Largo,1,null,null
Amanecer,22,4.0000,null
Zarate Brazo Largo,0,null,null
Lima,12,34.0000,24.0000
AUBASA BA-LP,23,29.0000,18.0000
Cabildo,14,1.0000,11.0000
Las Heras,6,1.0000,1.0000
Gral Paz Provincia,19,12.0000,13.0000
Trelles,2,2.0000,9.0000
Los Incas,4,null,null
Florencio Varela,5,3.0000,null
Las Heras,18,1.0000,5.0000
Congreso,2,null,null
Pilar,0,6.0000,null
Buen Ayre,9,9.0000,3.0000
Florencio Varela,7,4.0000,null
Florencio Varela,21,1.0000,null
America,23,2.0000,null
Del Tejar,4,null,null
Gral Paz Provincia,10,3.0000,3.0000
La Bandera,21,null,4.0000
Fisherton,5,2.0000,null
Centenera,18,2.0000,null
Pilar,7,2.0000,null
Libertador,16,19.0000,61.0000
Lima,4,15.0000,2.0000
Emilio Castro,0,5.0000,2.0000
Dialogos,1,null,1.0000
La Carmela,6,3.0000,null
Centenera,22,null,null
Parque Sarmiento,18,53.0000,10.0000
Arroyo Seco,1,41.0000,12.0000
Olivos,10,1.0000,null
Congreso,18,2.0000,null
Gral Paz Capital,2,3.0000,null
Villa Allende,9,15.0000,36.0000
Floresta,8,null,null
Villa Allende,15,6.0000,54.0000
Del Tejar,15,null,3.0000
Trelles,3,16.0000,16.0000
Villa Allende,17,5.0000,42.0000
Los Incas,3,1.0000,null
Lima,16,129.0000,90.0000
Santa Fe,19,null,2.0000
Maipu,16,null,2.0000
San Isidro,9,3.0000,3.0000
Alvear,7,14.0000,2.0000
Pilar,2,1.0000,null
Buen Ayre,15,27.0000,77.0000
AUBASA BA-LP,0,31.0000,18.0000
Arroyo Seco,12,31.0000,95.0000
Disc Panamericana,22,null,null
Trelles,15,9.0000,29.0000
Quilmes,7,5.0000,3.0000
Zarate,1,3.0000,null
La Carmela,9,8.0000,null
Garay,2,null,null
Trelles,14,1.0000,15.0000
Fisherton,17,4.0000,18.0000
El Club,17,3.0000,33.0000
DISC Echeverria,7,null,null
AUBASA BA-LP,15,53.0000,50.0000
Disc Panamericana,0,null,null
Laferrere,0,2.0000,10.0000
Zarate Brazo Largo,17,null,null
Santa Rita,20,null,1.0000
Maschwitz,23,null,null
Santa Rita,1,1.0000,null
Maschwitz,6,null,4.0000
San Isidro,4,3.0000,null
Maipu,8,null,null
Pilar,13,1.0000,null
America,12,null,null
Parque Sarmiento,21,30.0000,6.0000
Maschwitz,9,null,1.0000
Arroyo Seco,6,3.0000,8.0000
Fisherton,19,7.0000,14.0000
Alberdi,23,null,1.0000
Parque Sarmiento,7,18.0000,18.0000
Congreso,13,1.0000,null
Bulnes,22,null,null
Zarate Brazo Largo,18,null,null
Congreso,20,null,null
Los Incas,12,2.0000,null
Lima,9,32.0000,8.0000
La Bandera,11,1.0000,13.0000
Amanecer,5,null,null
Quilmes,13,1.0000,14.0000
Santa Rita,6,null,1.0000
Centenera,1,null,null
Congreso,3,null,null
Boulevard,8,2.0000,1.0000
Libertador,6,8.0000,11.0000
Floresta,1,null,null
El Club,4,1.0000,null
Ovidio Lagos,20,null,null
Lima,15,129.0000,106.0000
Gral Paz Provincia,12,3.0000,7.0000
Arroyo Seco,15,104.0000,263.0000
Garay,6,null,null
Los Incas,19,null,null
Floresta,4,null,null
Trelles,20,5.0000,6.0000
Maipu,22,null,null
Congreso,12,null,1.0000
Dialogos,10,3.0000,1.0000
DISC Caraffa,16,null,5.0000
Gutierrez,10,2.0000,3.0000
Bonpland,8,3.0000,2.0000
Zarate Brazo Largo,2,null,null
Garay,9,null,5.0000
San Isidro,10,3.0000,7.0000
Quilmes,19,6.0000,6.0000
Quilmes,10,1.0000,1.0000
AUBASA LP-BA,3,10.0000,5.0000
Luis Viale,3,null,2.0000
America,4,1.0000,null
Fisherton,22,4.0000,null
AUBASA LP-BA,9,19.0000,11.0000
Los Incas,2,null,null
San Isidro,7,2.0000,2.0000
Congreso,15,null,null
AUBASA LP-BA,22,14.0000,20.0000
Dialogos,15,4.0000,1.0000
Los Incas,6,null,null
Florencio Varela,15,1.0000,null
Alvear,23,10.0000,17.0000
Quilmes,15,2.0000,11.0000
Zarate Brazo Largo,21,null,null
Maschwitz,16,null,1.0000
Cabildo,9,null,1.0000
Buen Ayre,20,2.0000,10.0000
San Isidro,23,9.0000,4.0000
Floresta,5,1.0000,null
Villa Luro,16,3.0000,52.0000
La Carmela,23,4.0000,null
San Isidro,2,1.0000,3.0000
Alvear,20,8.0000,9.0000
Maschwitz,3,null,null
Arroyo Seco,4,9.0000,2.0000
Maschwitz,10,null,2.0000
Quilmes,0,3.0000,9.0000
Del Tejar,12,null,null
Villa Luro,3,4.0000,1.0000
Quilmes,1,7.0000,1.0000
Florencio Varela,22,3.0000,null
Dialogos,23,2.0000,null
Arroyo Seco,23,25.0000,20.0000
Del Tejar,14,null,2.0000
DISC Echeverria,12,null,null
Santa Fe,18,1.0000,null
Villa Luro,4,2.0000,1.0000
Amanecer,17,3.0000,null
Quilmes,12,2.0000,9.0000
Alvear,2,7.0000,12.0000
Alsina,17,null,null
Bulnes,14,2.0000,3.0000
Parque Sarmiento,4,null,8.0000
Gutierrez,5,2.0000,1.0000
San Isidro,8,4.0000,1.0000
Congreso,4,null,null
Ovidio Lagos,7,null,null
DISC Echeverria,3,null,1.0000
Garay,5,null,null
DISC Echeverria,15,null,null
Bulnes,11,null,9.0000
Rosario Sur,23,null,null
Disc Panamericana,15,null,null
DISC Caraffa,11,null,null
Trelles,9,2.0000,3.0000
Alberdi,4,null,null
Buen Ayre,3,1.0000,null
El Club,9,4.0000,5.0000
Rosario Sur,0,null,null
Ovidio Lagos,3,null,null
Bulnes,9,null,2.0000
Anchorena,15,null,null
DISC Echeverria,1,null,null
Anchorena,1,null,null
Fisherton,4,null,null
Florencio Varela,4,null,null
Disc Panamericana,4,null,null
Anchorena,13,null,null
Rosario Sur,21,null,null
Rosario Sur,3,null,null
Rosario Sur,7,null,null
DISC Caraffa,8,null,1.0000
Dialogos,5,null,null
DISC Caraffa,0,null,null
Anchorena,21,null,null
Villa Allende,4,null,null
Zarate,4,null,null
DISC Caraffa,4,null,null
Anchorena,18,null,null
Disc Panamericana,5,null,null
Anchorena,14,null,null
Rivadavia,14,null,null
DISC Caraffa,1,null,null
Anchorena,2,null,null
Rivadavia,12,null,null
Rivadavia,20,null,null
El Arco,23,null,null
Anchorena,5,null,null
Rivadavia,13,null,null
