estacion,hora,q_cafes_llevar_algo_leche_sinbakery,q_cafes_llevar_algo_otros_sinbakery,q_cafes_local_algo_leche_sinbakery,q_cafes_local_algo_otros_sinbakery
Trelles,7,180.0000,126.0000,54.0000,138.0000
Gral Paz Capital,6,529.0000,392.0000,null,462.0000
Disc Panamericana,3,2.0000,7.0000,null,null
Zarate Brazo Largo,7,215.0000,72.0000,3.0000,186.0000
Villa Allende,8,256.0000,208.0000,164.0000,467.0000
La Bandera,10,191.0000,69.0000,90.0000,825.0000
Floresta,12,41.0000,81.0000,47.0000,201.0000
Floresta,7,145.0000,203.0000,55.0000,191.0000
Trelles,22,32.0000,18.0000,16.0000,54.0000
America,2,28.0000,66.0000,null,131.0000
Lima,2,275.0000,768.0000,57.0000,388.0000
Florencio Varela,16,193.0000,35.0000,79.0000,219.0000
America,20,27.0000,49.0000,null,230.0000
Laferrere,5,91.0000,109.0000,22.0000,64.0000
Anchorena,17,null,null,16.0000,19.0000
Zarate,10,149.0000,143.0000,45.0000,124.0000
Villa Allende,20,56.0000,53.0000,77.0000,351.0000
Fisherton,10,144.0000,328.0000,null,2737.0000
El Arco,14,51.0000,50.0000,25.0000,279.0000
Alsina,19,82.0000,84.0000,86.0000,264.0000
Libertador,11,150.0000,276.0000,144.0000,525.0000
Alvear,17,177.0000,284.0000,446.0000,1019.0000
AUBASA LP-BA,19,344.0000,585.0000,284.0000,834.0000
Parque Sarmiento,15,96.0000,192.0000,61.0000,397.0000
Boulevard,0,null,null,null,null
Buen Ayre,1,40.0000,54.0000,29.0000,185.0000
El Arco,11,113.0000,82.0000,70.0000,472.0000
El Arco,18,129.0000,86.0000,91.0000,430.0000
Centenera,7,230.0000,231.0000,94.0000,120.0000
Santa Fe,9,122.0000,118.0000,10.0000,43.0000
Arroyo Seco,10,1269.0000,1478.0000,424.0000,1528.0000
Fisherton,6,104.0000,229.0000,null,248.0000
Pilar,9,332.0000,225.0000,176.0000,399.0000
Bonpland,15,136.0000,195.0000,178.0000,633.0000
El Club,8,435.0000,468.0000,717.0000,811.0000
Del Tejar,8,298.0000,119.0000,235.0000,285.0000
Libertador,0,58.0000,147.0000,40.0000,213.0000
Las Heras,7,186.0000,160.0000,32.0000,99.0000
Bonpland,21,97.0000,93.0000,41.0000,355.0000
Libertador,13,59.0000,156.0000,105.0000,452.0000
America,16,63.0000,112.0000,null,412.0000
Laferrere,22,28.0000,42.0000,31.0000,175.0000
AUBASA BA-LP,6,542.0000,609.0000,345.0000,438.0000
Alsina,15,56.0000,76.0000,79.0000,307.0000
Zarate Brazo Largo,5,143.0000,36.0000,1.0000,81.0000
Parque Sarmiento,22,98.0000,10.0000,18.0000,65.0000
Trelles,0,46.0000,46.0000,33.0000,134.0000
Luis Viale,1,19.0000,108.0000,18.0000,225.0000
Olivos,3,113.0000,21.0000,63.0000,60.0000
Cabildo,16,30.0000,86.0000,14.0000,102.0000
La Bandera,1,null,null,null,null
Luis Viale,4,11.0000,65.0000,28.0000,78.0000
Maschwitz,22,null,null,null,12.0000
Alvear,3,57.0000,136.0000,121.0000,342.0000
Florencio Varela,20,79.0000,18.0000,48.0000,88.0000
Villa Allende,6,86.0000,60.0000,56.0000,207.0000
El Arco,12,67.0000,53.0000,62.0000,370.0000
Disc Panamericana,8,1.0000,21.0000,null,12.0000
Pilar,16,84.0000,98.0000,64.0000,350.0000
Gral Paz Capital,16,259.0000,220.0000,null,1121.0000
Garay,22,30.0000,64.0000,21.0000,173.0000
Alvear,21,46.0000,152.0000,125.0000,484.0000
Olivos,23,115.0000,8.0000,40.0000,220.0000
Bulnes,0,null,null,null,null
Gutierrez,12,31.0000,70.0000,39.0000,170.0000
Gral Paz Capital,1,178.0000,65.0000,null,425.0000
Alvear,16,155.0000,243.0000,368.0000,1258.0000
Santa Rita,15,15.0000,105.0000,13.0000,560.0000
DISC Echeverria,22,null,null,null,40.0000
Quilmes,4,39.0000,103.0000,24.0000,63.0000
Ovidio Lagos,21,7.0000,44.0000,6.0000,176.0000
Santa Fe,8,162.0000,182.0000,12.0000,48.0000
Villa Luro,5,89.0000,160.0000,38.0000,203.0000
Congreso,5,67.0000,112.0000,13.0000,77.0000
La Carmela,4,94.0000,143.0000,12.0000,62.0000
Boulevard,4,null,null,null,null
Mitre,19,null,null,null,null
Emilio Castro,22,39.0000,65.0000,5.0000,29.0000
Garay,16,59.0000,160.0000,99.0000,601.0000
Pilar,12,95.0000,80.0000,84.0000,244.0000
DISC Caraffa,3,null,null,null,null
Centenera,21,16.0000,23.0000,11.0000,41.0000
Alberdi,8,null,null,null,297.0000
Pilar,10,264.0000,201.0000,131.0000,468.0000
Maschwitz,8,null,null,null,720.0000
Pilar,15,67.0000,107.0000,49.0000,394.0000
Pilar,17,81.0000,144.0000,85.0000,300.0000
Amanecer,14,55.0000,90.0000,null,340.0000
Garay,15,37.0000,102.0000,65.0000,526.0000
Gral Paz Provincia,11,213.0000,365.0000,203.0000,960.0000
Libertador,18,187.0000,224.0000,341.0000,562.0000
Laferrere,23,32.0000,89.0000,47.0000,193.0000
Garay,23,43.0000,68.0000,19.0000,154.0000
Mitre,10,null,null,null,null
Anchorena,23,null,null,3.0000,14.0000
El Arco,2,null,null,null,null
Santa Rita,18,25.0000,150.0000,29.0000,457.0000
Dialogos,13,64.0000,56.0000,42.0000,169.0000
Laferrere,13,25.0000,28.0000,49.0000,160.0000
Gral Paz Provincia,15,132.0000,267.0000,220.0000,974.0000
Cabildo,21,19.0000,29.0000,9.0000,33.0000
Centenera,3,22.0000,10.0000,8.0000,22.0000
Buen Ayre,21,32.0000,85.0000,60.0000,245.0000
Parque Sarmiento,9,325.0000,161.0000,135.0000,357.0000
Floresta,21,22.0000,61.0000,16.0000,178.0000
DISC Echeverria,14,null,null,null,22.0000
Villa Luro,19,68.0000,171.0000,113.0000,471.0000
Laferrere,11,73.0000,66.0000,73.0000,192.0000
Rosario Sur,12,null,null,null,null
La Carmela,13,55.0000,87.0000,18.0000,109.0000
AUBASA LP-BA,23,100.0000,266.0000,49.0000,257.0000
Rosario Sur,6,null,null,null,null
Olivos,21,62.0000,23.0000,47.0000,149.0000
Alberdi,5,null,null,null,99.0000
Buen Ayre,6,280.0000,201.0000,178.0000,232.0000
CORS EVENTOS,11,70.0000,90.0000,null,3.0000
Dialogos,6,216.0000,155.0000,79.0000,141.0000
Dialogos,14,136.0000,87.0000,65.0000,240.0000
San Isidro,19,73.0000,147.0000,112.0000,397.0000
Emilio Castro,2,42.0000,59.0000,15.0000,34.0000
Anchorena,0,null,null,27.0000,58.0000
Anchorena,16,null,null,11.0000,8.0000
Libertador,4,46.0000,107.0000,35.0000,75.0000
El Arco,0,null,null,null,null
Rosario Sur,4,null,null,null,null
La Carmela,11,87.0000,98.0000,37.0000,119.0000
Alvear,10,329.0000,379.0000,502.0000,1224.0000
Alsina,10,132.0000,231.0000,69.0000,391.0000
Villa Luro,7,369.0000,511.0000,299.0000,387.0000
Boulevard,11,94.0000,187.0000,78.0000,797.0000
Olivos,19,126.0000,40.0000,95.0000,337.0000
Disc Panamericana,14,3.0000,8.0000,null,18.0000
Fisherton,11,63.0000,210.0000,null,2718.0000
Boulevard,10,134.0000,217.0000,120.0000,870.0000
Parque Sarmiento,1,81.0000,18.0000,6.0000,32.0000
CORS EVENTOS,14,50.0000,130.0000,null,3.0000
Parque Sarmiento,0,136.0000,23.0000,3.0000,44.0000
Villa Allende,11,169.0000,64.0000,78.0000,738.0000
Villa Luro,8,324.0000,476.0000,519.0000,430.0000
Libertador,20,64.0000,154.0000,150.0000,304.0000
Villa Allende,23,null,1.0000,null,null
Floresta,16,75.0000,103.0000,69.0000,219.0000
El Club,14,101.0000,174.0000,176.0000,1231.0000
Libertador,22,28.0000,89.0000,38.0000,150.0000
Centenera,6,130.0000,151.0000,74.0000,63.0000
Dialogos,22,38.0000,46.0000,27.0000,66.0000
Fisherton,9,164.0000,360.0000,null,1868.0000
Pilar,19,74.0000,130.0000,48.0000,259.0000
Zarate Brazo Largo,9,227.0000,81.0000,8.0000,372.0000
Emilio Castro,3,36.0000,54.0000,18.0000,34.0000
Anchorena,20,null,null,11.0000,14.0000
Villa Allende,3,1.0000,5.0000,null,8.0000
Maipu,9,136.0000,135.0000,103.0000,315.0000
AUBASA BA-LP,17,480.0000,808.0000,746.0000,969.0000
Laferrere,17,59.0000,46.0000,84.0000,209.0000
AUBASA LP-BA,10,525.0000,737.0000,521.0000,879.0000
Gral Paz Provincia,3,96.0000,208.0000,53.0000,201.0000
Los Incas,1,53.0000,16.0000,null,6.0000
Alsina,1,31.0000,91.0000,30.0000,200.0000
Buen Ayre,5,159.0000,117.0000,46.0000,127.0000
AUBASA BA-LP,7,779.0000,774.0000,849.0000,670.0000
Mitre,18,null,null,null,null
Quilmes,6,142.0000,202.0000,91.0000,180.0000
La Carmela,7,305.0000,289.0000,163.0000,158.0000
Los Incas,20,36.0000,30.0000,null,2.0000
Bonpland,23,62.0000,109.0000,62.0000,331.0000
America,3,45.0000,48.0000,null,95.0000
Olivos,9,413.0000,67.0000,175.0000,311.0000
AUBASA BA-LP,10,699.0000,917.0000,798.0000,1022.0000
Fisherton,3,null,12.0000,null,60.0000
Bonpland,10,315.0000,315.0000,402.0000,661.0000
Gral Paz Capital,10,706.0000,533.0000,null,1484.0000
Gral Paz Provincia,17,278.0000,312.0000,347.0000,730.0000
Zarate,9,189.0000,143.0000,54.0000,69.0000
Del Tejar,0,40.0000,61.0000,15.0000,257.0000
DISC Echeverria,6,null,null,null,209.0000
AUBASA BA-LP,16,352.0000,884.0000,556.0000,1031.0000
Garay,18,76.0000,216.0000,80.0000,627.0000
Floresta,9,102.0000,178.0000,41.0000,205.0000
Zarate,22,44.0000,40.0000,7.0000,21.0000
DISC Caraffa,20,null,4.0000,18.0000,68.0000
Laferrere,1,41.0000,83.0000,40.0000,130.0000
CORS EVENTOS,8,35.0000,38.0000,null,null
CORS EVENTOS,21,null,null,null,null
Rivadavia,5,null,null,null,null
Arroyo Seco,17,1712.0000,2322.0000,529.0000,2491.0000
Las Heras,15,93.0000,137.0000,31.0000,171.0000
Maschwitz,18,null,null,null,244.0000
Congreso,10,320.0000,181.0000,39.0000,390.0000
Las Heras,21,19.0000,38.0000,21.0000,64.0000
Trelles,23,34.0000,27.0000,14.0000,85.0000
Santa Fe,12,13.0000,35.0000,4.0000,17.0000
AUBASA LP-BA,18,539.0000,704.0000,684.0000,1016.0000
Quilmes,17,123.0000,137.0000,184.0000,327.0000
Boulevard,15,88.0000,130.0000,49.0000,835.0000
Del Tejar,16,96.0000,82.0000,130.0000,394.0000
Congreso,7,285.0000,228.0000,53.0000,210.0000
Pilar,14,45.0000,68.0000,45.0000,280.0000
Trelles,13,67.0000,53.0000,88.0000,207.0000
DISC Echeverria,8,null,null,null,202.0000
Rivadavia,7,null,null,null,null
Parque Sarmiento,5,148.0000,18.0000,5.0000,41.0000
Alsina,3,21.0000,92.0000,11.0000,191.0000
Cabildo,8,163.0000,113.0000,23.0000,254.0000
Alberdi,7,null,null,null,368.0000
Florencio Varela,14,121.0000,39.0000,93.0000,307.0000
Amanecer,1,34.0000,57.0000,null,126.0000
Gral Paz Provincia,20,96.0000,173.0000,146.0000,462.0000
Luis Viale,17,96.0000,116.0000,120.0000,544.0000
Libertador,9,283.0000,442.0000,276.0000,437.0000
DISC Caraffa,5,null,null,null,1.0000
Buen Ayre,4,34.0000,41.0000,15.0000,48.0000
Boulevard,20,55.0000,51.0000,40.0000,223.0000
Libertador,3,39.0000,81.0000,21.0000,90.0000
Congreso,4,35.0000,39.0000,13.0000,64.0000
Las Heras,11,105.0000,142.0000,33.0000,163.0000
El Arco,15,74.0000,95.0000,36.0000,386.0000
Alsina,20,53.0000,93.0000,53.0000,258.0000
Rivadavia,12,null,null,null,null
Libertador,23,16.0000,121.0000,34.0000,185.0000
Emilio Castro,23,31.0000,64.0000,11.0000,36.0000
Florencio Varela,12,38.0000,81.0000,67.0000,230.0000
Bonpland,0,69.0000,121.0000,52.0000,312.0000
DISC Echeverria,1,null,null,null,79.0000
Anchorena,1,null,null,3.0000,12.0000
CORS EVENTOS,16,86.0000,174.0000,null,null
Florencio Varela,8,341.0000,382.0000,212.0000,295.0000
Alvear,5,120.0000,244.0000,193.0000,301.0000
Gral Paz Provincia,5,323.0000,413.0000,125.0000,214.0000
Garay,8,249.0000,237.0000,114.0000,406.0000
Rivadavia,14,null,null,null,null
Maschwitz,1,null,null,null,76.0000
Ovidio Lagos,4,12.0000,27.0000,12.0000,55.0000
Ovidio Lagos,18,37.0000,135.0000,27.0000,530.0000
Villa Luro,1,35.0000,85.0000,35.0000,226.0000
Laferrere,12,28.0000,48.0000,57.0000,191.0000
Ovidio Lagos,7,40.0000,168.0000,22.0000,135.0000
Rivadavia,9,null,null,null,null
Pilar,18,110.0000,147.0000,63.0000,308.0000
Santa Rita,9,39.0000,217.0000,32.0000,352.0000
Florencio Varela,10,161.0000,184.0000,165.0000,305.0000
El Club,21,54.0000,110.0000,98.0000,361.0000
America,22,28.0000,49.0000,null,134.0000
DISC Echeverria,5,null,null,null,274.0000
Arroyo Seco,16,1512.0000,2470.0000,455.0000,2904.0000
Luis Viale,16,71.0000,130.0000,92.0000,579.0000
Emilio Castro,10,93.0000,180.0000,73.0000,106.0000
Floresta,3,14.0000,80.0000,20.0000,65.0000
Cabildo,17,38.0000,74.0000,23.0000,89.0000
Centenera,9,205.0000,151.0000,109.0000,302.0000
Trelles,12,63.0000,48.0000,87.0000,201.0000
DISC Echeverria,3,null,null,null,61.0000
El Club,2,50.0000,135.0000,46.0000,229.0000
CORS EVENTOS,13,12.0000,46.0000,null,null
Arroyo Seco,0,471.0000,652.0000,149.0000,317.0000
Pilar,8,354.0000,345.0000,149.0000,299.0000
El Club,9,408.0000,477.0000,774.0000,939.0000
Gral Paz Capital,11,446.0000,382.0000,null,1230.0000
El Arco,5,1.0000,null,null,null
Santa Fe,3,null,null,null,null
Trelles,16,84.0000,89.0000,59.0000,194.0000
Maschwitz,21,null,null,null,39.0000
Gral Paz Provincia,8,693.0000,612.0000,608.0000,779.0000
Garay,5,65.0000,125.0000,14.0000,98.0000
Fisherton,4,1.0000,11.0000,null,40.0000
Zarate Brazo Largo,4,84.0000,16.0000,1.0000,80.0000
Las Heras,10,193.0000,168.0000,32.0000,149.0000
Zarate,19,112.0000,59.0000,18.0000,70.0000
El Club,11,208.0000,264.0000,283.0000,1167.0000
Laferrere,15,44.0000,39.0000,53.0000,219.0000
Congreso,17,153.0000,145.0000,39.0000,448.0000
Garay,11,115.0000,170.0000,102.0000,426.0000
Cabildo,5,14.0000,36.0000,4.0000,23.0000
Disc Panamericana,1,null,6.0000,null,null
Rosario Sur,3,null,null,null,null
Villa Allende,4,2.0000,4.0000,1.0000,4.0000
Buen Ayre,23,50.0000,87.0000,38.0000,204.0000
CORS EVENTOS,10,72.0000,79.0000,null,3.0000
San Isidro,0,51.0000,120.0000,44.0000,187.0000
El Club,10,294.0000,354.0000,599.0000,1130.0000
Centenera,8,204.0000,189.0000,109.0000,151.0000
Emilio Castro,21,15.0000,61.0000,13.0000,47.0000
San Isidro,1,47.0000,100.0000,39.0000,134.0000
Los Incas,15,79.0000,51.0000,null,2.0000
Libertador,2,20.0000,162.0000,39.0000,115.0000
DISC Caraffa,1,null,null,null,1.0000
Ovidio Lagos,11,30.0000,135.0000,22.0000,608.0000
Anchorena,13,null,null,4.0000,10.0000
Las Heras,16,130.0000,165.0000,29.0000,158.0000
Del Tejar,9,287.0000,131.0000,253.0000,375.0000
Florencio Varela,1,11.0000,69.0000,23.0000,92.0000
Alberdi,11,null,null,null,145.0000
Buen Ayre,8,577.0000,375.0000,630.0000,577.0000
Bulnes,17,64.0000,60.0000,42.0000,260.0000
Mitre,13,null,null,null,null
Parque Sarmiento,11,192.0000,72.0000,87.0000,383.0000
Rosario Sur,0,null,null,null,null
Bulnes,15,69.0000,57.0000,22.0000,259.0000
Lima,21,288.0000,689.0000,114.0000,633.0000
Centenera,23,13.0000,9.0000,24.0000,16.0000
El Arco,3,null,null,null,null
Alberdi,18,null,null,null,120.0000
Zarate,12,92.0000,104.0000,35.0000,76.0000
Villa Allende,19,95.0000,81.0000,103.0000,536.0000
DISC Echeverria,15,null,null,null,52.0000
Del Tejar,10,196.0000,88.0000,166.0000,409.0000
Rosario Sur,7,null,null,null,null
Rivadavia,20,null,null,null,null
Gutierrez,7,146.0000,195.0000,111.0000,142.0000
Dialogos,7,295.0000,233.0000,135.0000,188.0000
AUBASA LP-BA,8,815.0000,887.0000,612.0000,654.0000
America,0,28.0000,80.0000,null,164.0000
Zarate Brazo Largo,15,172.0000,53.0000,10.0000,187.0000
Gutierrez,20,23.0000,74.0000,38.0000,124.0000
Lima,22,304.0000,707.0000,81.0000,530.0000
Santa Rita,14,19.0000,120.0000,13.0000,431.0000
Alberdi,6,null,null,null,273.0000
Gutierrez,13,28.0000,71.0000,66.0000,221.0000
Los Incas,21,44.0000,18.0000,null,13.0000
Alsina,13,47.0000,70.0000,68.0000,289.0000
Villa Luro,18,134.0000,193.0000,228.0000,563.0000
Lima,18,1014.0000,2039.0000,340.0000,1850.0000
Alvear,6,426.0000,311.0000,494.0000,727.0000
Cabildo,22,16.0000,18.0000,1.0000,21.0000
Floresta,23,9.0000,86.0000,4.0000,125.0000
Zarate Brazo Largo,12,76.0000,27.0000,3.0000,155.0000
Gutierrez,4,50.0000,91.0000,26.0000,45.0000
El Arco,7,240.0000,253.0000,43.0000,307.0000
Dialogos,5,1.0000,7.0000,4.0000,16.0000
Ovidio Lagos,3,4.0000,34.0000,15.0000,73.0000
La Bandera,7,266.0000,77.0000,189.0000,369.0000
Floresta,14,20.0000,57.0000,45.0000,162.0000
Garay,14,36.0000,64.0000,41.0000,457.0000
DISC Caraffa,22,null,null,2.0000,19.0000
DISC Echeverria,21,null,null,null,53.0000
Quilmes,5,86.0000,114.0000,45.0000,52.0000
Boulevard,18,169.0000,129.0000,132.0000,544.0000
Villa Allende,18,94.0000,106.0000,116.0000,540.0000
Villa Luro,17,123.0000,211.0000,182.0000,689.0000
Amanecer,9,260.0000,378.0000,null,418.0000
Villa Allende,10,210.0000,153.0000,142.0000,592.0000
Bulnes,9,206.0000,115.0000,47.0000,179.0000
Mitre,21,null,null,null,null
Amanecer,4,41.0000,158.0000,null,124.0000
Ovidio Lagos,5,13.0000,53.0000,27.0000,85.0000
AUBASA LP-BA,11,352.0000,691.0000,307.0000,920.0000
Garay,19,70.0000,157.0000,77.0000,550.0000
Congreso,19,72.0000,94.0000,30.0000,257.0000
Anchorena,14,null,null,5.0000,9.0000
Zarate Brazo Largo,1,87.0000,31.0000,2.0000,106.0000
Bonpland,2,93.0000,95.0000,61.0000,208.0000
Bulnes,11,112.0000,89.0000,60.0000,338.0000
Cabildo,14,17.0000,45.0000,20.0000,122.0000
Lima,12,341.0000,887.0000,166.0000,1219.0000
Gral Paz Provincia,19,210.0000,299.0000,248.0000,637.0000
Rosario Sur,21,null,null,null,null
Las Heras,6,174.0000,130.0000,30.0000,109.0000
Trelles,2,57.0000,41.0000,7.0000,86.0000
Amanecer,22,20.0000,55.0000,null,156.0000
Florencio Varela,5,9.0000,134.0000,18.0000,60.0000
AUBASA BA-LP,23,83.0000,316.0000,73.0000,343.0000
Zarate Brazo Largo,0,97.0000,25.0000,null,114.0000
Los Incas,4,32.0000,15.0000,null,2.0000
Las Heras,18,114.0000,101.0000,29.0000,202.0000
Pilar,0,17.0000,79.0000,34.0000,107.0000
Disc Panamericana,5,3.0000,4.0000,null,null
Congreso,2,53.0000,80.0000,12.0000,92.0000
Mitre,4,null,null,null,null
Buen Ayre,9,550.0000,444.0000,605.0000,593.0000
Florencio Varela,7,271.0000,357.0000,188.0000,280.0000
Zarate,4,null,null,null,null
Florencio Varela,21,51.0000,14.0000,21.0000,51.0000
Del Tejar,4,28.0000,47.0000,4.0000,45.0000
America,23,27.0000,82.0000,null,163.0000
La Bandera,21,19.0000,9.0000,7.0000,104.0000
Fisherton,5,null,11.0000,null,19.0000
Gral Paz Provincia,10,405.0000,481.0000,475.0000,968.0000
Santa Fe,0,null,null,null,null
Pilar,7,330.0000,297.0000,63.0000,158.0000
Emilio Castro,0,78.0000,77.0000,11.0000,44.0000
Libertador,16,137.0000,217.0000,233.0000,649.0000
Centenera,18,76.0000,85.0000,68.0000,107.0000
Dialogos,1,39.0000,30.0000,5.0000,45.0000
Lima,4,314.0000,613.0000,42.0000,270.0000
Olivos,10,287.0000,43.0000,202.0000,310.0000
Parque Sarmiento,18,78.0000,246.0000,74.0000,351.0000
La Carmela,6,333.0000,299.0000,98.0000,151.0000
Arroyo Seco,1,426.0000,681.0000,115.0000,322.0000
Centenera,22,7.0000,16.0000,10.0000,11.0000
El Arco,23,null,null,null,null
Florencio Varela,4,3.0000,41.0000,5.0000,26.0000
Villa Allende,9,270.0000,164.0000,153.0000,477.0000
Congreso,18,135.0000,153.0000,47.0000,383.0000
Gral Paz Capital,2,154.0000,67.0000,null,295.0000
Floresta,8,142.0000,253.0000,38.0000,174.0000
Mitre,14,null,null,null,null
Villa Allende,15,68.0000,93.0000,46.0000,557.0000
Anchorena,15,null,null,6.0000,15.0000
DISC Caraffa,0,null,null,null,null
Santa Fe,19,31.0000,54.0000,7.0000,28.0000
Villa Allende,17,133.0000,101.0000,124.0000,745.0000
Del Tejar,15,85.0000,76.0000,109.0000,494.0000
Lima,16,857.0000,2353.0000,313.0000,2446.0000
Los Incas,3,30.0000,14.0000,null,4.0000
Trelles,3,89.0000,84.0000,10.0000,92.0000
DISC Caraffa,4,null,1.0000,null,null
Maipu,16,62.0000,107.0000,72.0000,439.0000
Mitre,17,null,null,null,null
DISC Caraffa,8,5.0000,57.0000,25.0000,64.0000
San Isidro,9,353.0000,384.0000,283.0000,572.0000
Alvear,7,485.0000,451.0000,513.0000,886.0000
Pilar,2,15.0000,52.0000,19.0000,34.0000
Buen Ayre,15,153.0000,310.0000,186.0000,1000.0000
Arroyo Seco,12,756.0000,1135.0000,319.0000,1819.0000
La Carmela,9,239.0000,286.0000,103.0000,158.0000
Garay,2,43.0000,94.0000,21.0000,147.0000
Trelles,15,63.0000,71.0000,51.0000,237.0000
AUBASA BA-LP,0,111.0000,359.0000,66.0000,371.0000
Zarate,1,53.0000,57.0000,null,24.0000
Disc Panamericana,22,4.0000,2.0000,null,1.0000
Quilmes,7,318.0000,330.0000,259.0000,598.0000
Fisherton,17,24.0000,200.0000,null,2448.0000
Trelles,14,44.0000,62.0000,70.0000,203.0000
El Club,17,256.0000,282.0000,611.0000,1138.0000
Maipu,8,161.0000,140.0000,114.0000,278.0000
Maschwitz,6,null,null,null,413.0000
Disc Panamericana,0,2.0000,7.0000,null,null
AUBASA BA-LP,15,254.0000,780.0000,415.0000,1077.0000
DISC Echeverria,7,null,null,null,168.0000
Santa Rita,20,11.0000,82.0000,13.0000,185.0000
Laferrere,0,37.0000,106.0000,44.0000,149.0000
Zarate Brazo Largo,17,193.0000,83.0000,7.0000,145.0000
Maschwitz,23,null,null,null,4.0000
San Isidro,4,157.0000,97.0000,27.0000,45.0000
Santa Rita,1,9.0000,99.0000,7.0000,110.0000
Parque Sarmiento,7,275.0000,121.0000,144.0000,241.0000
Fisherton,19,24.0000,192.0000,null,1688.0000
Maschwitz,9,null,null,null,546.0000
America,12,65.0000,82.0000,null,335.0000
Pilar,13,58.0000,45.0000,69.0000,201.0000
Parque Sarmiento,21,54.0000,105.0000,19.0000,138.0000
Alberdi,23,null,null,null,40.0000
Rosario Sur,23,null,null,null,null
Arroyo Seco,6,861.0000,940.0000,144.0000,413.0000
Congreso,13,130.0000,89.0000,34.0000,305.0000
Santa Fe,23,null,null,null,null
Bulnes,22,null,null,null,2.0000
Boulevard,8,191.0000,270.0000,80.0000,323.0000
Quilmes,13,66.0000,78.0000,86.0000,265.0000
Congreso,20,47.0000,47.0000,6.0000,114.0000
Centenera,1,21.0000,23.0000,13.0000,24.0000
La Bandera,11,114.0000,53.0000,80.0000,931.0000
Disc Panamericana,15,3.0000,23.0000,null,26.0000
Zarate Brazo Largo,18,200.0000,76.0000,7.0000,151.0000
Los Incas,12,129.0000,32.0000,null,8.0000
Lima,9,737.0000,1162.0000,306.0000,1041.0000
Amanecer,5,131.0000,144.0000,null,108.0000
Congreso,3,51.0000,54.0000,19.0000,73.0000
Santa Rita,6,26.0000,200.0000,21.0000,159.0000
DISC Caraffa,11,2.0000,41.0000,33.0000,135.0000
Trelles,9,146.0000,140.0000,59.0000,175.0000
El Club,4,45.0000,50.0000,23.0000,69.0000
Libertador,6,130.0000,219.0000,155.0000,174.0000
Floresta,1,38.0000,115.0000,11.0000,101.0000
Arroyo Seco,15,1269.0000,2169.0000,359.0000,2927.0000
Los Incas,19,75.0000,38.0000,null,8.0000
Lima,15,585.0000,1972.0000,220.0000,2151.0000
Gral Paz Provincia,12,128.0000,255.0000,161.0000,694.0000
Ovidio Lagos,20,26.0000,50.0000,14.0000,293.0000
Garay,6,168.0000,200.0000,57.0000,171.0000
Floresta,4,16.0000,83.0000,18.0000,62.0000
Rivadavia,13,null,null,null,null
DISC Caraffa,16,2.0000,17.0000,24.0000,180.0000
Bonpland,8,585.0000,488.0000,572.0000,609.0000
Congreso,12,142.0000,65.0000,45.0000,382.0000
Maipu,22,69.0000,32.0000,11.0000,140.0000
Gutierrez,10,86.0000,134.0000,95.0000,199.0000
Trelles,20,46.0000,43.0000,20.0000,84.0000
Dialogos,10,205.0000,142.0000,153.0000,226.0000
Zarate Brazo Largo,2,68.0000,30.0000,null,84.0000
AUBASA LP-BA,9,639.0000,779.0000,608.0000,753.0000
Quilmes,19,64.0000,91.0000,97.0000,230.0000
San Isidro,10,280.0000,358.0000,248.0000,616.0000
Garay,9,172.0000,204.0000,103.0000,480.0000
AUBASA LP-BA,3,124.0000,259.0000,19.0000,132.0000
Quilmes,10,192.0000,224.0000,226.0000,534.0000
Fisherton,22,null,24.0000,null,116.0000
Luis Viale,3,23.0000,63.0000,27.0000,108.0000
America,4,45.0000,69.0000,null,51.0000
Anchorena,2,null,null,6.0000,19.0000
San Isidro,7,419.0000,488.0000,216.0000,377.0000
Congreso,15,135.0000,132.0000,42.0000,418.0000
AUBASA LP-BA,22,74.0000,224.0000,61.0000,280.0000
Dialogos,15,109.0000,91.0000,75.0000,223.0000
Alberdi,4,null,null,null,47.0000
Los Incas,2,43.0000,19.0000,null,6.0000
Los Incas,6,215.0000,60.0000,null,7.0000
Boulevard,3,null,null,null,null
Zarate Brazo Largo,21,114.0000,25.0000,10.0000,77.0000
Cabildo,9,147.0000,93.0000,19.0000,114.0000
Florencio Varela,15,97.0000,34.0000,81.0000,212.0000
Quilmes,15,73.0000,111.0000,86.0000,353.0000
Alvear,23,56.0000,180.0000,96.0000,637.0000
Maschwitz,16,null,null,null,159.0000
Buen Ayre,20,81.0000,106.0000,97.0000,376.0000
San Isidro,23,30.0000,79.0000,19.0000,126.0000
Anchorena,5,null,null,7.0000,10.0000
Disc Panamericana,4,3.0000,null,null,null
Floresta,5,18.0000,86.0000,22.0000,100.0000
Villa Luro,16,116.0000,185.0000,177.0000,672.0000
Maschwitz,3,null,null,null,102.0000
Alvear,20,52.0000,170.0000,162.0000,544.0000
San Isidro,2,47.0000,76.0000,17.0000,86.0000
La Carmela,23,46.0000,82.0000,22.0000,65.0000
Arroyo Seco,4,296.0000,374.0000,33.0000,139.0000
Quilmes,0,39.0000,83.0000,30.0000,180.0000
Maschwitz,10,null,null,null,381.0000
Del Tejar,12,64.0000,59.0000,127.0000,333.0000
Arroyo Seco,23,352.0000,571.0000,102.0000,292.0000
Florencio Varela,22,21.0000,40.0000,2.0000,84.0000
