estacion,hora,q_cafes_llevar_algo_leche_sinbakery_sinsandwiches_caramelos,q_cafes_llevar_algo_otros_sinbakery_sinsandwiches_caramelos,q_cafes_local_algo_leche_sinbakery_sinsandwiches_caramelos,q_cafes_local_algo_otros_sinbakery_sinsandwiches_caramelos
Centenera,13,3.0000,6.0000,null,16.0000
AUBASA LP-BA,2,24.0000,92.0000,5.0000,40.0000
Arroyo Seco,2,69.0000,148.0000,17.0000,32.0000
Disc Panamericana,12,null,3.0000,null,null
Quilmes,8,24.0000,33.0000,4.0000,21.0000
El Club,0,37.0000,41.0000,25.0000,215.0000
Alsina,7,15.0000,15.0000,null,10.0000
Floresta,0,2.0000,26.0000,2.0000,17.0000
Bonpland,3,13.0000,9.0000,10.0000,31.0000
Santa Fe,6,22.0000,8.0000,1.0000,1.0000
Buen Ayre,0,16.0000,44.0000,6.0000,72.0000
Del Tejar,23,1.0000,16.0000,4.0000,72.0000
Luis Viale,22,4.0000,11.0000,1.0000,50.0000
La Bandera,20,9.0000,6.0000,3.0000,25.0000
Laferrere,8,13.0000,12.0000,7.0000,9.0000
Maipu,12,12.0000,2.0000,1.0000,35.0000
Maipu,13,16.0000,9.0000,1.0000,43.0000
Gral Paz Capital,9,66.0000,48.0000,null,64.0000
Bulnes,10,16.0000,7.0000,5.0000,33.0000
AUBASA BA-LP,12,51.0000,132.0000,17.0000,96.0000
Garay,20,3.0000,16.0000,2.0000,30.0000
Amanecer,12,9.0000,29.0000,null,35.0000
Rosario Sur,13,null,null,null,null
La Bandera,13,11.0000,3.0000,5.0000,80.0000
Ovidio Lagos,10,12.0000,33.0000,3.0000,67.0000
Centenera,11,5.0000,23.0000,4.0000,18.0000
Fisherton,2,null,7.0000,null,18.0000
Parque Sarmiento,23,47.0000,5.0000,1.0000,37.0000
Disc Panamericana,17,null,null,null,3.0000
Bonpland,5,12.0000,14.0000,4.0000,14.0000
Trelles,17,19.0000,16.0000,3.0000,44.0000
DISC Caraffa,15,null,5.0000,null,27.0000
Alberdi,19,null,null,null,14.0000
Gral Paz Provincia,13,8.0000,42.0000,10.0000,103.0000
Congreso,22,17.0000,16.0000,2.0000,31.0000
Ovidio Lagos,12,3.0000,18.0000,2.0000,42.0000
Bulnes,8,17.0000,15.0000,2.0000,18.0000
Zarate Brazo Largo,3,6.0000,1.0000,null,3.0000
Bonpland,1,12.0000,28.0000,9.0000,62.0000
Santa Fe,13,2.0000,9.0000,null,6.0000
Buen Ayre,14,24.0000,98.0000,15.0000,269.0000
Maschwitz,17,null,null,null,44.0000
El Arco,19,27.0000,24.0000,4.0000,79.0000
AUBASA BA-LP,3,29.0000,56.0000,5.0000,21.0000
Bulnes,20,5.0000,2.0000,null,11.0000
Villa Luro,13,8.0000,26.0000,11.0000,72.0000
Anchorena,11,null,null,null,null
Disc Panamericana,9,null,null,null,1.0000
DISC Caraffa,23,null,null,null,1.0000
El Arco,22,null,null,null,null
Villa Allende,22,null,null,null,null
Bulnes,23,null,null,null,null
Bulnes,2,null,null,null,null
Rivadavia,10,null,null,null,null
Dialogos,3,null,null,null,null
La Bandera,22,null,null,null,null
Rivadavia,17,null,null,null,null
Villa Allende,0,null,null,null,1.0000
Boulevard,22,null,null,null,null
Anchorena,6,null,null,null,null
Rivadavia,15,null,null,null,null
Villa Allende,2,1.0000,1.0000,null,null
La Bandera,5,null,null,null,null
Fisherton,18,4.0000,41.0000,null,202.0000
El Club,12,8.0000,33.0000,12.0000,111.0000
Arroyo Seco,8,224.0000,313.0000,43.0000,145.0000
Dialogos,16,28.0000,20.0000,11.0000,32.0000
Alsina,18,15.0000,12.0000,2.0000,23.0000
AUBASA LP-BA,0,26.0000,124.0000,11.0000,88.0000
Buen Ayre,17,63.0000,95.0000,32.0000,143.0000
Rosario Sur,1,null,null,null,null
Libertador,8,49.0000,68.0000,14.0000,91.0000
DISC Echeverria,17,null,null,null,5.0000
San Isidro,6,53.0000,27.0000,10.0000,19.0000
Garay,10,16.0000,12.0000,12.0000,36.0000
El Club,18,29.0000,62.0000,28.0000,126.0000
Las Heras,23,8.0000,12.0000,8.0000,19.0000
Gutierrez,16,8.0000,50.0000,3.0000,36.0000
DISC Echeverria,16,null,null,null,7.0000
La Bandera,14,21.0000,13.0000,14.0000,92.0000
DISC Echeverria,19,null,null,null,7.0000
Las Heras,8,20.0000,27.0000,1.0000,10.0000
Bulnes,13,4.0000,6.0000,2.0000,26.0000
Dialogos,18,49.0000,31.0000,14.0000,40.0000
Centenera,20,5.0000,5.0000,4.0000,2.0000
Ovidio Lagos,17,11.0000,24.0000,4.0000,119.0000
Las Heras,1,7.0000,10.0000,3.0000,22.0000
Boulevard,9,22.0000,32.0000,6.0000,51.0000
La Bandera,6,13.0000,3.0000,3.0000,3.0000
America,8,37.0000,24.0000,null,32.0000
Zarate,18,19.0000,26.0000,3.0000,61.0000
Gral Paz Capital,4,45.0000,20.0000,null,36.0000
DISC Echeverria,9,null,null,null,11.0000
Bulnes,21,2.0000,1.0000,null,5.0000
Santa Fe,20,5.0000,5.0000,2.0000,3.0000
Laferrere,7,20.0000,8.0000,6.0000,12.0000
Los Incas,14,7.0000,10.0000,null,1.0000
Del Tejar,11,15.0000,11.0000,7.0000,79.0000
AUBASA BA-LP,8,98.0000,161.0000,21.0000,77.0000
Las Heras,5,5.0000,29.0000,1.0000,9.0000
Luis Viale,8,6.0000,48.0000,4.0000,23.0000
Gutierrez,18,27.0000,27.0000,3.0000,48.0000
Arroyo Seco,7,152.0000,161.0000,18.0000,76.0000
Ovidio Lagos,1,6.0000,14.0000,2.0000,25.0000
AUBASA BA-LP,4,27.0000,40.0000,2.0000,25.0000
Alsina,8,3.0000,8.0000,1.0000,15.0000
El Arco,8,18.0000,19.0000,3.0000,35.0000
Gral Paz Capital,14,27.0000,29.0000,null,260.0000
Dialogos,11,18.0000,23.0000,4.0000,25.0000
Floresta,19,null,15.0000,1.0000,25.0000
Gral Paz Capital,13,25.0000,27.0000,null,103.0000
Bulnes,19,7.0000,4.0000,2.0000,27.0000
Luis Viale,15,18.0000,48.0000,7.0000,109.0000
Maschwitz,14,null,null,null,21.0000
Los Incas,0,25.0000,5.0000,null,null
San Isidro,12,20.0000,40.0000,8.0000,104.0000
Maschwitz,2,null,null,null,8.0000
Gutierrez,0,7.0000,16.0000,1.0000,36.0000
Bulnes,1,null,null,null,null
La Carmela,20,15.0000,24.0000,2.0000,11.0000
Olivos,16,22.0000,22.0000,7.0000,67.0000
El Arco,20,15.0000,12.0000,3.0000,77.0000
Gral Paz Capital,22,37.0000,16.0000,null,85.0000
La Carmela,5,22.0000,18.0000,1.0000,4.0000
Pilar,5,4.0000,8.0000,null,3.0000
Pilar,1,3.0000,21.0000,3.0000,12.0000
Amanecer,3,4.0000,10.0000,1.0000,14.0000
AUBASA BA-LP,19,51.0000,167.0000,18.0000,111.0000
Gutierrez,6,12.0000,20.0000,1.0000,10.0000
Alsina,9,6.0000,14.0000,2.0000,21.0000
Floresta,17,3.0000,13.0000,1.0000,49.0000
Los Incas,9,45.0000,15.0000,null,2.0000
Gral Paz Provincia,7,238.0000,111.0000,10.0000,60.0000
Alberdi,10,null,null,null,26.0000
DISC Echeverria,4,null,null,null,19.0000
Maipu,1,30.0000,19.0000,6.0000,56.0000
Fisherton,23,null,9.0000,null,49.0000
Del Tejar,1,3.0000,13.0000,null,55.0000
Cabildo,1,9.0000,8.0000,5.0000,5.0000
Pilar,3,8.0000,11.0000,null,7.0000
Disc Panamericana,23,null,null,null,null
Ovidio Lagos,19,4.0000,15.0000,3.0000,94.0000
Bonpland,20,9.0000,10.0000,5.0000,39.0000
Dialogos,17,42.0000,19.0000,10.0000,29.0000
Parque Sarmiento,13,54.0000,17.0000,8.0000,82.0000
AUBASA LP-BA,15,61.0000,229.0000,16.0000,356.0000
Boulevard,19,19.0000,21.0000,8.0000,72.0000
Santa Fe,14,5.0000,5.0000,1.0000,19.0000
Parque Sarmiento,2,38.0000,4.0000,1.0000,11.0000
Las Heras,19,5.0000,10.0000,null,23.0000
Gutierrez,14,6.0000,23.0000,1.0000,49.0000
Alvear,4,8.0000,19.0000,13.0000,34.0000
Maschwitz,19,null,null,null,31.0000
Las Heras,13,8.0000,12.0000,null,31.0000
Congreso,0,20.0000,23.0000,5.0000,43.0000
Emilio Castro,16,14.0000,26.0000,2.0000,18.0000
Lima,0,73.0000,227.0000,8.0000,115.0000
Arroyo Seco,5,45.0000,49.0000,5.0000,12.0000
Luis Viale,18,22.0000,36.0000,4.0000,82.0000
Las Heras,12,3.0000,11.0000,3.0000,24.0000
El Club,19,18.0000,45.0000,15.0000,123.0000
Santa Fe,10,6.0000,12.0000,2.0000,5.0000
Trelles,8,20.0000,22.0000,3.0000,19.0000
Ovidio Lagos,22,1.0000,17.0000,2.0000,47.0000
Cabildo,13,9.0000,10.0000,2.0000,11.0000
Bonpland,11,19.0000,26.0000,16.0000,60.0000
America,7,33.0000,26.0000,null,50.0000
Del Tejar,6,8.0000,7.0000,1.0000,37.0000
Amanecer,11,15.0000,59.0000,null,48.0000
AUBASA BA-LP,18,85.0000,208.0000,16.0000,108.0000
El Arco,9,23.0000,21.0000,4.0000,51.0000
Alvear,13,24.0000,38.0000,15.0000,127.0000
Gral Paz Capital,5,75.0000,16.0000,null,66.0000
Villa Luro,23,8.0000,41.0000,10.0000,135.0000
Olivos,4,18.0000,1.0000,4.0000,6.0000
Alsina,11,7.0000,9.0000,1.0000,23.0000
Santa Rita,4,null,55.0000,3.0000,16.0000
Rosario Sur,11,null,null,null,null
Zarate,13,10.0000,25.0000,4.0000,8.0000
El Club,23,23.0000,44.0000,19.0000,176.0000
Emilio Castro,15,5.0000,26.0000,null,23.0000
Gral Paz Capital,18,57.0000,29.0000,null,103.0000
America,14,11.0000,15.0000,null,69.0000
DISC Echeverria,23,null,null,null,4.0000
Rosario Sur,5,null,null,null,null
Florencio Varela,6,12.0000,13.0000,1.0000,17.0000
Ovidio Lagos,2,null,12.0000,1.0000,22.0000
La Bandera,18,22.0000,8.0000,6.0000,105.0000
Santa Fe,17,8.0000,13.0000,3.0000,7.0000
Ovidio Lagos,14,3.0000,15.0000,1.0000,110.0000
America,13,9.0000,10.0000,null,42.0000
Zarate Brazo Largo,19,40.0000,3.0000,2.0000,12.0000
Santa Rita,22,1.0000,34.0000,2.0000,87.0000
Garay,4,1.0000,8.0000,1.0000,22.0000
Santa Rita,10,1.0000,73.0000,1.0000,166.0000
America,17,12.0000,33.0000,null,81.0000
Zarate Brazo Largo,10,50.0000,9.0000,null,26.0000
Alberdi,17,null,null,null,20.0000
Maipu,2,7.0000,4.0000,14.0000,35.0000
Buen Ayre,18,49.0000,91.0000,26.0000,130.0000
Maschwitz,7,null,null,null,81.0000
Alsina,21,8.0000,3.0000,1.0000,17.0000
Alvear,18,17.0000,50.0000,29.0000,112.0000
AUBASA LP-BA,12,52.0000,100.0000,11.0000,107.0000
Fisherton,7,17.0000,48.0000,null,60.0000
Bonpland,19,28.0000,19.0000,6.0000,45.0000
Villa Allende,13,30.0000,11.0000,1.0000,92.0000
Rosario Sur,17,null,null,null,null
Gral Paz Provincia,4,40.0000,90.0000,8.0000,31.0000
Gral Paz Provincia,6,34.0000,39.0000,7.0000,30.0000
Cabildo,23,2.0000,8.0000,2.0000,2.0000
San Isidro,5,11.0000,11.0000,null,3.0000
Amanecer,16,9.0000,34.0000,null,72.0000
Luis Viale,7,3.0000,35.0000,5.0000,6.0000
Gutierrez,19,5.0000,18.0000,4.0000,28.0000
Fisherton,14,5.0000,41.0000,null,202.0000
Villa Luro,21,5.0000,26.0000,3.0000,69.0000
Los Incas,13,26.0000,4.0000,null,2.0000
Boulevard,21,4.0000,7.0000,null,8.0000
Rosario Sur,14,null,null,null,null
Las Heras,3,5.0000,7.0000,null,5.0000
Arroyo Seco,20,143.0000,202.0000,19.0000,165.0000
Villa Luro,20,11.0000,29.0000,6.0000,80.0000
Amanecer,8,64.0000,64.0000,null,32.0000
Emilio Castro,11,15.0000,21.0000,3.0000,16.0000
La Carmela,12,13.0000,27.0000,null,24.0000
Santa Fe,21,2.0000,7.0000,null,2.0000
Alvear,8,30.0000,60.0000,36.0000,100.0000
Amanecer,20,3.0000,17.0000,null,36.0000
El Arco,6,17.0000,14.0000,4.0000,8.0000
La Bandera,8,21.0000,11.0000,2.0000,44.0000
Los Incas,22,7.0000,null,null,null
San Isidro,11,24.0000,60.0000,13.0000,117.0000
Gutierrez,17,19.0000,28.0000,4.0000,39.0000
El Club,22,5.0000,30.0000,16.0000,109.0000
AUBASA LP-BA,13,31.0000,96.0000,11.0000,144.0000
Maschwitz,5,null,null,null,37.0000
Buen Ayre,22,16.0000,34.0000,6.0000,69.0000
Disc Panamericana,20,null,1.0000,null,null
Rivadavia,21,null,null,null,null
Boulevard,5,1.0000,1.0000,null,null
Anchorena,19,null,null,null,null
El Arco,1,null,null,null,null
Anchorena,8,null,null,null,null
Garay,17,11.0000,29.0000,4.0000,84.0000
Fisherton,21,5.0000,11.0000,null,45.0000
AUBASA BA-LP,9,98.0000,174.0000,15.0000,113.0000
Gral Paz Capital,19,50.0000,32.0000,null,140.0000
AUBASA LP-BA,14,61.0000,133.0000,13.0000,271.0000
Los Incas,18,17.0000,17.0000,null,null
Dialogos,8,44.0000,32.0000,8.0000,12.0000
AUBASA LP-BA,7,96.0000,96.0000,7.0000,42.0000
Lima,13,75.0000,187.0000,14.0000,206.0000
Boulevard,14,17.0000,20.0000,7.0000,186.0000
Villa Allende,16,19.0000,48.0000,6.0000,206.0000
Florencio Varela,18,19.0000,4.0000,2.0000,18.0000
Parque Sarmiento,14,27.0000,75.0000,6.0000,168.0000
Luis Viale,9,6.0000,44.0000,3.0000,16.0000
Los Incas,16,15.0000,13.0000,null,null
DISC Echeverria,20,null,null,null,2.0000
Emilio Castro,4,7.0000,9.0000,null,4.0000
Del Tejar,7,15.0000,15.0000,3.0000,45.0000
Alsina,23,2.0000,10.0000,4.0000,23.0000
Fisherton,0,null,9.0000,null,64.0000
Olivos,18,17.0000,12.0000,5.0000,55.0000
Del Tejar,2,6.0000,13.0000,1.0000,25.0000
Villa Luro,12,12.0000,33.0000,5.0000,59.0000
San Isidro,22,8.0000,11.0000,4.0000,60.0000
Disc Panamericana,10,null,3.0000,null,null
Garay,21,3.0000,7.0000,4.0000,8.0000
Alberdi,3,null,null,null,9.0000
Centenera,5,1.0000,9.0000,null,3.0000
Del Tejar,13,5.0000,11.0000,3.0000,45.0000
Ovidio Lagos,15,5.0000,31.0000,3.0000,139.0000
Del Tejar,21,9.0000,9.0000,2.0000,19.0000
Luis Viale,11,5.0000,26.0000,6.0000,49.0000
Amanecer,19,11.0000,20.0000,null,37.0000
Alvear,14,16.0000,51.0000,15.0000,200.0000
Las Heras,22,3.0000,8.0000,null,30.0000
Arroyo Seco,9,286.0000,279.0000,40.0000,213.0000
Congreso,9,56.0000,34.0000,9.0000,84.0000
Alberdi,12,null,null,null,9.0000
Bulnes,16,15.0000,22.0000,3.0000,57.0000
Bonpland,9,28.0000,33.0000,4.0000,36.0000
Las Heras,0,5.0000,12.0000,4.0000,32.0000
Floresta,15,8.0000,16.0000,3.0000,27.0000
Dialogos,19,33.0000,16.0000,12.0000,57.0000
Emilio Castro,20,10.0000,16.0000,3.0000,7.0000
Maipu,6,11.0000,10.0000,2.0000,8.0000
Las Heras,20,5.0000,8.0000,2.0000,18.0000
Buen Ayre,12,31.0000,52.0000,14.0000,94.0000
Arroyo Seco,19,237.0000,325.0000,35.0000,228.0000
Ovidio Lagos,13,6.0000,17.0000,1.0000,76.0000
Alsina,2,2.0000,11.0000,null,14.0000
Lima,11,106.0000,265.0000,24.0000,262.0000
Luis Viale,21,9.0000,39.0000,8.0000,48.0000
Santa Rita,3,3.0000,25.0000,1.0000,20.0000
Disc Panamericana,19,null,2.0000,null,1.0000
Villa Allende,21,7.0000,7.0000,2.0000,45.0000
Disc Panamericana,3,null,1.0000,null,null
Trelles,7,16.0000,14.0000,2.0000,15.0000
Alberdi,15,null,null,null,20.0000
Zarate Brazo Largo,7,36.0000,9.0000,null,22.0000
Gral Paz Capital,6,40.0000,35.0000,null,15.0000
Villa Allende,8,40.0000,33.0000,9.0000,66.0000
Floresta,7,5.0000,9.0000,3.0000,19.0000
Trelles,22,12.0000,7.0000,null,16.0000
Floresta,12,11.0000,14.0000,2.0000,55.0000
La Bandera,10,22.0000,7.0000,5.0000,61.0000
Lima,2,52.0000,183.0000,9.0000,81.0000
America,2,7.0000,18.0000,null,25.0000
America,20,7.0000,10.0000,null,44.0000
Florencio Varela,16,32.0000,9.0000,6.0000,28.0000
Laferrere,5,11.0000,20.0000,null,5.0000
Anchorena,17,null,null,null,null
Parque Sarmiento,15,37.0000,95.0000,5.0000,184.0000
AUBASA LP-BA,19,82.0000,132.0000,16.0000,142.0000
Alsina,19,12.0000,13.0000,1.0000,13.0000
Fisherton,10,14.0000,45.0000,null,202.0000
Libertador,11,25.0000,59.0000,16.0000,93.0000
Zarate,10,16.0000,18.0000,3.0000,18.0000
Alvear,17,29.0000,61.0000,38.0000,156.0000
Villa Allende,20,11.0000,9.0000,5.0000,92.0000
El Arco,14,13.0000,11.0000,1.0000,88.0000
Buen Ayre,1,12.0000,22.0000,6.0000,78.0000
El Arco,18,22.0000,18.0000,5.0000,109.0000
El Arco,11,25.0000,21.0000,2.0000,81.0000
Centenera,7,10.0000,28.0000,10.0000,11.0000
Bonpland,15,18.0000,24.0000,9.0000,112.0000
Libertador,0,12.0000,42.0000,12.0000,100.0000
Arroyo Seco,10,253.0000,346.0000,44.0000,304.0000
Santa Fe,9,18.0000,21.0000,null,9.0000
Fisherton,6,11.0000,16.0000,null,11.0000
Del Tejar,8,27.0000,19.0000,10.0000,33.0000
El Club,8,35.0000,56.0000,28.0000,60.0000
Las Heras,7,13.0000,16.0000,null,2.0000
Pilar,9,20.0000,30.0000,7.0000,72.0000
Bonpland,21,13.0000,10.0000,1.0000,74.0000
America,16,13.0000,24.0000,null,83.0000
Laferrere,22,9.0000,8.0000,2.0000,26.0000
Libertador,13,8.0000,24.0000,15.0000,96.0000
AUBASA BA-LP,6,63.0000,117.0000,17.0000,40.0000
Alsina,15,7.0000,12.0000,6.0000,34.0000
Parque Sarmiento,22,64.0000,7.0000,5.0000,33.0000
Olivos,3,28.0000,9.0000,7.0000,15.0000
Zarate Brazo Largo,5,14.0000,4.0000,null,4.0000
Trelles,0,15.0000,13.0000,7.0000,44.0000
Luis Viale,1,6.0000,27.0000,5.0000,33.0000
Alvear,3,16.0000,25.0000,14.0000,70.0000
Cabildo,16,5.0000,21.0000,3.0000,16.0000
Maschwitz,22,null,null,null,null
Alvear,21,11.0000,36.0000,21.0000,85.0000
Pilar,16,16.0000,23.0000,9.0000,81.0000
Olivos,23,48.0000,1.0000,3.0000,73.0000
Florencio Varela,20,16.0000,5.0000,3.0000,15.0000
Gral Paz Capital,16,60.0000,56.0000,null,166.0000
El Arco,12,10.0000,14.0000,1.0000,72.0000
Garay,22,6.0000,9.0000,2.0000,16.0000
Bulnes,0,null,null,null,null
Villa Allende,6,22.0000,15.0000,14.0000,67.0000
Gutierrez,12,5.0000,15.0000,1.0000,19.0000
Gral Paz Capital,1,53.0000,15.0000,null,98.0000
Alvear,16,34.0000,59.0000,39.0000,208.0000
DISC Echeverria,22,null,null,null,5.0000
Ovidio Lagos,21,2.0000,10.0000,null,40.0000
Santa Rita,15,3.0000,62.0000,null,310.0000
Quilmes,4,5.0000,7.0000,2.0000,13.0000
La Carmela,4,14.0000,27.0000,1.0000,7.0000
Santa Fe,8,22.0000,33.0000,1.0000,6.0000
Congreso,5,8.0000,8.0000,1.0000,13.0000
Villa Luro,5,6.0000,24.0000,2.0000,113.0000
Emilio Castro,22,14.0000,19.0000,1.0000,3.0000
Pilar,12,13.0000,11.0000,3.0000,36.0000
Garay,16,7.0000,28.0000,6.0000,54.0000
Maschwitz,8,null,null,null,63.0000
Pilar,17,18.0000,30.0000,5.0000,64.0000
Libertador,18,41.0000,57.0000,29.0000,110.0000
Laferrere,23,3.0000,29.0000,5.0000,24.0000
Amanecer,14,6.0000,14.0000,null,88.0000
Gral Paz Provincia,11,18.0000,53.0000,7.0000,91.0000
Pilar,10,36.0000,18.0000,6.0000,85.0000
Garay,15,4.0000,22.0000,1.0000,59.0000
Pilar,15,19.0000,33.0000,9.0000,112.0000
Garay,23,7.0000,6.0000,null,14.0000
Centenera,21,5.0000,4.0000,null,2.0000
Alberdi,8,null,null,null,31.0000
Gral Paz Provincia,15,31.0000,85.0000,9.0000,179.0000
Dialogos,13,17.0000,14.0000,8.0000,27.0000
Laferrere,13,5.0000,3.0000,2.0000,22.0000
Cabildo,21,1.0000,12.0000,null,5.0000
Santa Rita,18,4.0000,71.0000,null,187.0000
Centenera,3,2.0000,2.0000,1.0000,4.0000
Buen Ayre,21,6.0000,31.0000,16.0000,66.0000
DISC Echeverria,14,null,null,null,1.0000
Floresta,21,2.0000,12.0000,2.0000,13.0000
Parque Sarmiento,9,128.0000,59.0000,9.0000,112.0000
Olivos,21,10.0000,7.0000,3.0000,33.0000
La Carmela,13,7.0000,28.0000,null,18.0000
Laferrere,11,9.0000,10.0000,1.0000,23.0000
AUBASA LP-BA,23,26.0000,91.0000,7.0000,75.0000
Villa Luro,19,12.0000,54.0000,5.0000,110.0000
Alberdi,5,null,null,null,15.0000
Buen Ayre,6,37.0000,35.0000,4.0000,25.0000
Rosario Sur,6,null,null,null,null
Dialogos,14,24.0000,24.0000,14.0000,60.0000
Emilio Castro,2,7.0000,19.0000,3.0000,9.0000
Libertador,4,3.0000,16.0000,1.0000,9.0000
San Isidro,19,15.0000,28.0000,9.0000,85.0000
Dialogos,6,25.0000,21.0000,null,5.0000
Luis Viale,4,1.0000,9.0000,2.0000,6.0000
Rosario Sur,12,null,null,null,null
Villa Allende,1,null,null,null,null
Bulnes,3,null,null,null,null
Zarate,3,null,null,null,null
Disc Panamericana,8,null,7.0000,null,null
Anchorena,16,null,null,null,null
Anchorena,0,null,null,null,null
Anchorena,23,null,null,null,null
Villa Allende,5,null,null,null,19.0000
La Bandera,1,null,null,null,null
Rivadavia,18,null,null,null,null
Anchorena,7,null,null,null,null
DISC Caraffa,3,null,null,null,null
El Arco,0,null,null,null,null
Anchorena,4,null,null,null,null
Dialogos,4,null,null,null,null
La Carmela,11,15.0000,14.0000,1.0000,8.0000
Boulevard,11,19.0000,22.0000,3.0000,68.0000
Olivos,19,22.0000,10.0000,4.0000,39.0000
Alsina,10,8.0000,20.0000,4.0000,36.0000
Alvear,10,31.0000,49.0000,30.0000,110.0000
Villa Luro,7,19.0000,45.0000,14.0000,31.0000
Rosario Sur,4,null,null,null,null
Disc Panamericana,14,null,null,null,3.0000
Fisherton,11,3.0000,30.0000,null,218.0000
Parque Sarmiento,1,40.0000,6.0000,1.0000,19.0000
Boulevard,10,21.0000,32.0000,8.0000,81.0000
Libertador,20,20.0000,26.0000,14.0000,75.0000
Villa Allende,11,40.0000,15.0000,10.0000,175.0000
Parque Sarmiento,0,80.0000,9.0000,1.0000,31.0000
Villa Luro,8,25.0000,49.0000,11.0000,36.0000
Villa Allende,23,null,null,null,null
Libertador,22,7.0000,27.0000,6.0000,49.0000
El Club,14,16.0000,45.0000,15.0000,298.0000
Floresta,16,8.0000,10.0000,4.0000,42.0000
Centenera,6,2.0000,13.0000,3.0000,5.0000
Dialogos,22,19.0000,14.0000,1.0000,29.0000
Zarate Brazo Largo,9,28.0000,13.0000,null,18.0000
Emilio Castro,3,5.0000,27.0000,2.0000,7.0000
Pilar,19,10.0000,23.0000,null,37.0000
Fisherton,9,12.0000,32.0000,null,115.0000
Anchorena,20,null,null,null,null
AUBASA BA-LP,17,84.0000,229.0000,20.0000,143.0000
AUBASA LP-BA,10,82.0000,140.0000,11.0000,134.0000
Gral Paz Provincia,3,16.0000,36.0000,6.0000,32.0000
Los Incas,1,20.0000,3.0000,null,null
Laferrere,17,7.0000,8.0000,4.0000,24.0000
Maipu,9,13.0000,6.0000,4.0000,28.0000
Alsina,1,4.0000,7.0000,2.0000,12.0000
Buen Ayre,5,51.0000,45.0000,null,26.0000
AUBASA BA-LP,10,81.0000,191.0000,11.0000,149.0000
AUBASA BA-LP,7,82.0000,108.0000,30.0000,67.0000
Olivos,9,52.0000,9.0000,5.0000,40.0000
La Carmela,7,34.0000,36.0000,30.0000,25.0000
Bonpland,23,8.0000,24.0000,11.0000,66.0000
Los Incas,20,8.0000,9.0000,null,null
Quilmes,6,12.0000,22.0000,1.0000,15.0000
America,3,6.0000,11.0000,null,14.0000
Gral Paz Capital,10,73.0000,59.0000,null,94.0000
Bonpland,10,20.0000,39.0000,16.0000,42.0000
Gral Paz Provincia,17,19.0000,62.0000,2.0000,120.0000
Del Tejar,0,4.0000,7.0000,1.0000,86.0000
Zarate,9,16.0000,22.0000,2.0000,17.0000
DISC Echeverria,6,null,null,null,13.0000
AUBASA BA-LP,16,86.0000,265.0000,26.0000,236.0000
Garay,18,14.0000,27.0000,3.0000,44.0000
Floresta,9,13.0000,27.0000,2.0000,18.0000
Laferrere,1,10.0000,17.0000,2.0000,21.0000
Zarate,22,10.0000,13.0000,null,8.0000
DISC Caraffa,20,null,1.0000,1.0000,9.0000
Maschwitz,18,null,null,null,49.0000
Arroyo Seco,17,435.0000,656.0000,58.0000,476.0000
Congreso,10,52.0000,17.0000,5.0000,105.0000
Trelles,23,8.0000,9.0000,null,20.0000
Santa Fe,12,1.0000,8.0000,null,3.0000
Las Heras,21,7.0000,6.0000,3.0000,15.0000
Las Heras,15,8.0000,25.0000,2.0000,33.0000
Congreso,7,49.0000,32.0000,4.0000,45.0000
Trelles,13,6.0000,11.0000,4.0000,30.0000
Pilar,14,7.0000,18.0000,2.0000,93.0000
Boulevard,15,27.0000,36.0000,9.0000,176.0000
Del Tejar,16,17.0000,14.0000,10.0000,88.0000
Parque Sarmiento,5,57.0000,6.0000,null,11.0000
AUBASA LP-BA,18,73.0000,148.0000,30.0000,174.0000
Quilmes,17,17.0000,31.0000,5.0000,47.0000
DISC Echeverria,8,null,null,null,6.0000
Alsina,3,1.0000,12.0000,null,18.0000
Luis Viale,17,20.0000,19.0000,7.0000,69.0000
Gral Paz Provincia,20,18.0000,39.0000,4.0000,81.0000
Florencio Varela,14,13.0000,6.0000,10.0000,52.0000
Libertador,9,48.0000,93.0000,16.0000,75.0000
Cabildo,8,10.0000,9.0000,2.0000,8.0000
Amanecer,1,16.0000,13.0000,null,31.0000
Alberdi,7,null,null,null,18.0000
Buen Ayre,4,12.0000,15.0000,1.0000,8.0000
Congreso,4,6.0000,2.0000,3.0000,6.0000
Boulevard,20,13.0000,10.0000,4.0000,35.0000
Libertador,3,12.0000,9.0000,2.0000,36.0000
Libertador,23,3.0000,38.0000,7.0000,83.0000
Alsina,20,8.0000,15.0000,1.0000,20.0000
Emilio Castro,23,10.0000,17.0000,5.0000,16.0000
El Arco,15,21.0000,23.0000,5.0000,134.0000
Las Heras,11,17.0000,8.0000,4.0000,20.0000
DISC Echeverria,1,null,null,null,2.0000
Bonpland,0,11.0000,37.0000,4.0000,69.0000
Florencio Varela,12,3.0000,7.0000,6.0000,33.0000
Florencio Varela,8,35.0000,55.0000,10.0000,32.0000
Maschwitz,1,null,null,null,33.0000
Gral Paz Provincia,5,42.0000,52.0000,7.0000,18.0000
Garay,8,19.0000,7.0000,4.0000,18.0000
Alvear,5,13.0000,24.0000,16.0000,40.0000
Ovidio Lagos,4,5.0000,6.0000,null,7.0000
Laferrere,12,2.0000,3.0000,1.0000,11.0000
Villa Luro,1,10.0000,24.0000,10.0000,87.0000
Ovidio Lagos,18,9.0000,30.0000,null,74.0000
