estacion,hora,q_cafes_llevar_algo_otros_negro1,q_cafes_local_algo_otros_negro1
Del Tejar,18,76.0000,19.0000
Del Tejar,20,19.0000,1.0000
La Carmela,14,29.0000,null
Alberdi,9,null,15.0000
AUBASA BA-LP,21,119.0000,70.0000
Alvear,1,36.0000,90.0000
Los Incas,10,30.0000,null
Gutierrez,3,20.0000,6.0000
Rosario Sur,20,null,null
Luis Viale,12,35.0000,137.0000
Ovidio Lagos,0,null,null
Mitre,22,null,null
AUBASA BA-LP,2,122.0000,76.0000
Buen Ayre,7,313.0000,357.0000
Rivadavia,22,null,null
Fisherton,13,39.0000,225.0000
Amanecer,13,38.0000,null
Alvear,0,51.0000,89.0000
Centenera,10,122.0000,71.0000
La Bandera,4,null,null
DISC Caraffa,18,1.0000,17.0000
Congreso,8,6.0000,16.0000
AUBASA LP-BA,16,261.0000,460.0000
Alberdi,16,null,6.0000
El Arco,4,null,null
Alvear,9,181.0000,365.0000
Florencio Varela,23,16.0000,null
Luis Viale,23,16.0000,39.0000
El Club,15,64.0000,326.0000
Boulevard,1,null,null
Buen Ayre,16,170.0000,306.0000
La Bandera,17,40.0000,503.0000
Centenera,16,51.0000,47.0000
Pilar,6,128.0000,null
La Carmela,10,95.0000,1.0000
Emilio Castro,7,135.0000,134.0000
Bonpland,17,52.0000,250.0000
Anchorena,9,null,null
Emilio Castro,14,14.0000,32.0000
Disc Panamericana,13,null,null
Buen Ayre,10,297.0000,438.0000
Zarate Brazo Largo,22,null,null
Alberdi,0,null,6.0000
Bulnes,7,17.0000,58.0000
Villa Luro,6,133.0000,195.0000
Las Heras,9,94.0000,52.0000
AUBASA LP-BA,1,120.0000,69.0000
San Isidro,21,20.0000,60.0000
Gral Paz Provincia,21,53.0000,66.0000
Los Incas,11,26.0000,null
Luis Viale,0,18.0000,45.0000
Trelles,19,47.0000,118.0000
DISC Caraffa,12,13.0000,43.0000
Congreso,11,null,19.0000
Alsina,22,66.0000,6.0000
Villa Allende,14,25.0000,202.0000
Congreso,16,7.0000,6.0000
Quilmes,11,84.0000,197.0000
Del Tejar,22,11.0000,null
Cabildo,12,4.0000,76.0000
Villa Luro,10,198.0000,606.0000
La Carmela,8,158.0000,null
Del Tejar,19,35.0000,8.0000
Boulevard,13,39.0000,92.0000
San Isidro,16,168.0000,464.0000
Alvear,22,33.0000,77.0000
Alsina,0,46.0000,2.0000
Las Heras,4,20.0000,7.0000
La Bandera,12,23.0000,509.0000
Fisherton,15,136.0000,171.0000
Quilmes,18,41.0000,132.0000
America,11,50.0000,null
Parque Sarmiento,6,213.0000,124.0000
Emilio Castro,12,27.0000,46.0000
Dialogos,9,67.0000,53.0000
Quilmes,21,14.0000,28.0000
Rosario Sur,2,null,null
Los Incas,5,13.0000,null
Rivadavia,16,null,null
Ovidio Lagos,9,null,null
Floresta,6,47.0000,null
Buen Ayre,19,134.0000,197.0000
Olivos,17,18.0000,73.0000
La Bandera,16,22.0000,338.0000
Floresta,20,11.0000,null
La Carmela,18,61.0000,null
Laferrere,21,9.0000,55.0000
Gral Paz Capital,12,302.0000,null
Floresta,18,39.0000,null
Maipu,15,null,12.0000
Cabildo,4,2.0000,9.0000
Fisherton,8,226.0000,573.0000
Gral Paz Capital,20,159.0000,null
Centenera,15,52.0000,33.0000
Emilio Castro,19,22.0000,25.0000
Luis Viale,13,18.0000,111.0000
Bulnes,12,11.0000,55.0000
Luis Viale,2,16.0000,62.0000
Pilar,4,34.0000,null
Maipu,5,null,5.0000
Mitre,16,null,null
DISC Caraffa,14,1.0000,22.0000
El Arco,21,22.0000,65.0000
Trelles,18,64.0000,169.0000
Garay,12,20.0000,193.0000
Amanecer,6,131.0000,null
Luis Viale,5,26.0000,39.0000
Lima,1,398.0000,171.0000
Gutierrez,11,33.0000,53.0000
Garay,0,5.0000,10.0000
Bonpland,6,75.0000,125.0000
Disc Panamericana,6,null,null
Quilmes,3,30.0000,18.0000
America,5,61.0000,null
Mitre,2,null,null
Alberdi,20,null,6.0000
Garay,7,42.0000,167.0000
Garay,1,9.0000,13.0000
Villa Luro,2,30.0000,41.0000
Mitre,5,null,null
Zarate Brazo Largo,13,1.0000,5.0000
Zarate,16,8.0000,2.0000
Laferrere,6,25.0000,81.0000
Alvear,12,63.0000,211.0000
Libertador,10,211.0000,450.0000
DISC Caraffa,2,null,null
San Isidro,18,170.0000,590.0000
Santa Rita,8,14.0000,35.0000
Olivos,5,5.0000,19.0000
AUBASA BA-LP,1,118.0000,85.0000
Santa Rita,12,4.0000,17.0000
Gutierrez,8,88.0000,104.0000
Arroyo Seco,13,255.0000,1189.0000
Arroyo Seco,18,603.0000,2152.0000
Luis Viale,19,21.0000,100.0000
Gral Paz Provincia,1,114.0000,101.0000
El Club,3,20.0000,42.0000
Rosario Sur,22,null,null
DISC Echeverria,0,null,55.0000
Rivadavia,19,null,null
Alberdi,14,null,6.0000
Boulevard,16,51.0000,100.0000
Trelles,1,52.0000,44.0000
Los Incas,17,18.0000,1.0000
Maipu,10,null,8.0000
AUBASA LP-BA,20,139.0000,148.0000
Rivadavia,8,null,null
Trelles,6,132.0000,194.0000
La Bandera,2,null,null
La Bandera,15,26.0000,302.0000
Florencio Varela,11,23.0000,55.0000
Amanecer,18,39.0000,null
Florencio Varela,2,17.0000,null
DISC Caraffa,13,8.0000,29.0000
Zarate Brazo Largo,16,2.0000,null
Santa Rita,23,1.0000,1.0000
El Club,6,126.0000,126.0000
Libertador,15,150.0000,212.0000
Alvear,11,98.0000,259.0000
DISC Echeverria,18,null,22.0000
Amanecer,0,31.0000,null
Cabildo,2,5.0000,18.0000
Zarate,11,29.0000,8.0000
Fisherton,16,178.0000,228.0000
El Club,13,42.0000,243.0000
Luis Viale,14,15.0000,127.0000
Luis Viale,6,41.0000,48.0000
Santa Rita,5,10.0000,null
Rosario Sur,19,null,null
AUBASA BA-LP,14,261.0000,365.0000
Villa Allende,7,188.0000,566.0000
Bonpland,7,93.0000,228.0000
Floresta,22,16.0000,null
AUBASA BA-LP,11,384.0000,607.0000
La Carmela,17,59.0000,null
Luis Viale,10,78.0000,237.0000
DISC Caraffa,19,2.0000,15.0000
Amanecer,21,14.0000,null
Floresta,10,47.0000,null
Bonpland,4,22.0000,39.0000
CORS EVENTOS,17,74.0000,null
Gutierrez,1,16.0000,9.0000
America,18,61.0000,null
Laferrere,20,9.0000,130.0000
Maipu,23,3.0000,9.0000
Los Incas,7,32.0000,null
Parque Sarmiento,19,217.0000,38.0000
El Arco,13,28.0000,86.0000
Quilmes,14,46.0000,72.0000
Emilio Castro,17,21.0000,25.0000
Lima,23,292.0000,135.0000
Olivos,8,38.0000,29.0000
Santa Fe,7,58.0000,18.0000
Mitre,3,null,null
AUBASA BA-LP,20,193.0000,134.0000
Zarate,8,55.0000,9.0000
Florencio Varela,9,39.0000,100.0000
Maipu,4,null,4.0000
Anchorena,11,null,null
Floresta,11,23.0000,null
Centenera,14,19.0000,22.0000
Zarate,15,8.0000,3.0000
Gral Paz Capital,21,98.0000,null
Maipu,11,null,6.0000
Florencio Varela,19,10.0000,1.0000
Libertador,14,81.0000,159.0000
Anchorena,12,null,null
Anchorena,6,null,null
El Arco,16,36.0000,155.0000
Gutierrez,23,7.0000,16.0000
La Bandera,22,null,null
Mitre,0,null,null
Pilar,11,89.0000,null
Pilar,21,27.0000,null
Disc Panamericana,9,1.0000,null
Fisherton,1,25.0000,null
Buen Ayre,13,93.0000,218.0000
DISC Caraffa,7,35.0000,18.0000
Maschwitz,13,null,13.0000
Del Tejar,17,44.0000,24.0000
DISC Caraffa,17,null,15.0000
Alsina,16,148.0000,15.0000
Fisherton,20,53.0000,82.0000
Gral Paz Provincia,2,122.0000,90.0000
Santa Fe,1,null,null
Ovidio Lagos,6,null,null
Los Incas,23,5.0000,null
Santa Rita,13,null,9.0000
Florencio Varela,17,14.0000,3.0000
Zarate,21,5.0000,null
Fisherton,12,58.0000,443.0000
Quilmes,20,17.0000,37.0000
Trelles,10,157.0000,410.0000
Libertador,17,150.0000,298.0000
DISC Caraffa,23,null,null
Cabildo,15,3.0000,76.0000
Villa Allende,22,null,1.0000
Alvear,19,51.0000,141.0000
Gutierrez,21,13.0000,7.0000
La Bandera,5,null,1.0000
El Arco,22,null,null
AUBASA LP-BA,6,411.0000,94.0000
Olivos,15,8.0000,45.0000
Zarate,20,2.0000,4.0000
Gral Paz Provincia,23,96.0000,101.0000
Alberdi,22,null,null
Alsina,4,69.0000,1.0000
Lima,10,758.0000,1057.0000
Lima,3,256.0000,113.0000
Maipu,14,1.0000,20.0000
Arroyo Seco,3,186.0000,145.0000
Quilmes,16,36.0000,109.0000
Cabildo,0,4.0000,28.0000
Cabildo,18,5.0000,72.0000
San Isidro,15,91.0000,270.0000
Laferrere,3,27.0000,25.0000
El Arco,17,43.0000,182.0000
Zarate,6,21.0000,11.0000
Alsina,12,25.0000,10.0000
Florencio Varela,3,3.0000,null
Rivadavia,17,null,null
Boulevard,17,51.0000,126.0000
Maschwitz,11,null,22.0000
La Carmela,15,58.0000,null
Pilar,20,33.0000,null
Disc Panamericana,11,1.0000,null
Zarate Brazo Largo,20,3.0000,null
Villa Allende,0,null,null
Cabildo,7,7.0000,74.0000
Laferrere,16,21.0000,178.0000
Libertador,21,43.0000,49.0000
Trelles,21,41.0000,46.0000
Lima,20,475.0000,310.0000
Gral Paz Provincia,22,60.0000,67.0000
AUBASA LP-BA,5,247.0000,74.0000
Centenera,2,9.0000,2.0000
Libertador,19,97.0000,170.0000
Olivos,11,11.0000,29.0000
Pilar,23,30.0000,1.0000
Gral Paz Capital,0,59.0000,null
Bulnes,23,null,null
Zarate,0,18.0000,2.0000
San Isidro,14,74.0000,195.0000
Arroyo Seco,14,355.0000,1503.0000
Maipu,20,null,9.0000
Disc Panamericana,18,3.0000,null
Rosario Sur,10,null,null
Villa Luro,15,68.0000,306.0000
Bonpland,18,40.0000,190.0000
La Carmela,19,34.0000,1.0000
La Carmela,21,24.0000,null
Zarate,17,14.0000,6.0000
Villa Luro,22,28.0000,67.0000
Gral Paz Provincia,0,89.0000,121.0000
Dialogos,0,11.0000,4.0000
Laferrere,9,36.0000,191.0000
Villa Allende,2,null,2.0000
Centenera,17,58.0000,26.0000
El Club,5,38.0000,79.0000
Gutierrez,9,90.0000,67.0000
Olivos,2,2.0000,21.0000
AUBASA BA-LP,13,179.0000,313.0000
Trelles,5,89.0000,48.0000
Gutierrez,2,9.0000,17.0000
DISC Caraffa,21,null,17.0000
Bulnes,5,null,null
Bonpland,16,53.0000,215.0000
America,10,95.0000,null
La Bandera,9,99.0000,685.0000
Parque Sarmiento,10,205.0000,223.0000
Rivadavia,15,null,null
Ovidio Lagos,8,null,null
Libertador,5,155.0000,48.0000
El Club,1,28.0000,107.0000
Lima,6,738.0000,463.0000
Gral Paz Capital,8,1422.0000,null
Rosario Sur,15,null,null
Boulevard,6,79.0000,61.0000
Bulnes,18,11.0000,91.0000
DISC Caraffa,6,11.0000,17.0000
DISC Echeverria,10,null,41.0000
Bulnes,2,null,null
Maipu,21,null,8.0000
Cabildo,11,7.0000,91.0000
Rivadavia,10,null,null
Mitre,8,null,null
Maipu,19,null,9.0000
Alsina,5,110.0000,null
Garay,3,7.0000,7.0000
Boulevard,12,52.0000,141.0000
Dialogos,12,18.0000,23.0000
Laferrere,14,8.0000,121.0000
Las Heras,14,52.0000,36.0000
La Carmela,1,39.0000,null
La Carmela,16,55.0000,1.0000
Villa Allende,12,29.0000,501.0000
El Club,16,110.0000,422.0000
Santa Fe,22,null,null
Florencio Varela,0,15.0000,null
Olivos,7,20.0000,9.0000
La Carmela,2,35.0000,null
Santa Fe,11,53.0000,28.0000
Gral Paz Provincia,14,78.0000,202.0000
Centenera,13,23.0000,34.0000
La Carmela,0,48.0000,null
Libertador,1,63.0000,83.0000
AUBASA LP-BA,2,162.0000,59.0000
Mitre,23,null,null
Maipu,3,null,2.0000
Arroyo Seco,2,202.0000,119.0000
Alsina,7,40.0000,2.0000
Disc Panamericana,12,null,null
El Club,0,34.0000,111.0000
Quilmes,8,216.0000,367.0000
Floresta,0,37.0000,null
Santa Fe,6,24.0000,1.0000
Bonpland,3,23.0000,54.0000
Buen Ayre,0,120.0000,66.0000
Maipu,13,null,3.0000
La Bandera,20,11.0000,125.0000
Laferrere,8,44.0000,132.0000
Gral Paz Capital,9,1392.0000,null
Maipu,12,null,5.0000
Bulnes,10,34.0000,142.0000
Luis Viale,22,6.0000,42.0000
Del Tejar,23,16.0000,null
La Bandera,13,25.0000,262.0000
AUBASA BA-LP,12,196.0000,334.0000
Amanecer,12,74.0000,null
Garay,20,7.0000,116.0000
Rosario Sur,13,null,null
Centenera,11,68.0000,50.0000
Ovidio Lagos,10,null,null
Fisherton,2,27.0000,null
Dialogos,3,null,null
Bonpland,5,85.0000,89.0000
Disc Panamericana,17,5.0000,null
Boulevard,22,null,null
Parque Sarmiento,23,1.0000,18.0000
Alberdi,19,null,3.0000
DISC Caraffa,15,1.0000,18.0000
Trelles,17,74.0000,197.0000
Gral Paz Provincia,13,114.0000,205.0000
Ovidio Lagos,12,null,null
Santa Fe,13,14.0000,1.0000
Congreso,22,1.0000,null
Bonpland,1,28.0000,48.0000
Bulnes,8,46.0000,77.0000
Zarate Brazo Largo,3,null,null
Buen Ayre,14,103.0000,227.0000
Maschwitz,17,null,27.0000
Villa Luro,13,52.0000,201.0000
El Arco,19,78.0000,260.0000
Bulnes,20,3.0000,32.0000
AUBASA BA-LP,3,118.0000,49.0000
Anchorena,19,null,null
Arroyo Seco,8,829.0000,2812.0000
Dialogos,16,32.0000,19.0000
Fisherton,18,233.0000,420.0000
Alsina,18,106.0000,8.0000
El Club,12,55.0000,264.0000
AUBASA LP-BA,0,120.0000,83.0000
Rosario Sur,1,null,null
Buen Ayre,17,208.0000,348.0000
DISC Echeverria,17,null,14.0000
Libertador,8,236.0000,480.0000
Garay,10,19.0000,292.0000
San Isidro,6,84.0000,80.0000
El Club,18,84.0000,403.0000
Las Heras,23,16.0000,9.0000
Bulnes,13,9.0000,39.0000
Gutierrez,16,60.0000,53.0000
DISC Echeverria,19,null,10.0000
La Bandera,14,22.0000,223.0000
DISC Echeverria,16,null,8.0000
Las Heras,8,57.0000,44.0000
Las Heras,1,7.0000,5.0000
America,8,207.0000,null
Boulevard,9,169.0000,425.0000
Ovidio Lagos,17,null,null
Dialogos,18,22.0000,26.0000
Mitre,7,null,null
Centenera,20,17.0000,5.0000
La Bandera,6,30.0000,80.0000
Gral Paz Capital,4,135.0000,null
Zarate,18,11.0000,6.0000
DISC Echeverria,9,null,42.0000
Bulnes,21,3.0000,4.0000
Los Incas,14,13.0000,1.0000
Santa Fe,20,12.0000,1.0000
Laferrere,7,52.0000,92.0000
Del Tejar,11,10.0000,null
Las Heras,5,36.0000,16.0000
AUBASA BA-LP,8,644.0000,647.0000
Gutierrez,18,57.0000,51.0000
Mitre,12,null,null
Luis Viale,8,163.0000,130.0000
Mitre,15,null,null
Arroyo Seco,7,676.0000,1949.0000
Ovidio Lagos,1,null,null
Floresta,19,34.0000,null
Bulnes,19,9.0000,71.0000
Luis Viale,15,34.0000,199.0000
El Arco,8,192.0000,323.0000
Maschwitz,14,null,23.0000
San Isidro,12,50.0000,59.0000
Gral Paz Capital,13,162.0000,null
Gral Paz Capital,14,150.0000,null
Dialogos,11,25.0000,32.0000
Alsina,8,31.0000,2.0000
Los Incas,0,6.0000,1.0000
Mitre,11,null,null
Maschwitz,2,null,8.0000
AUBASA BA-LP,4,117.0000,62.0000
Gutierrez,0,12.0000,8.0000
Bulnes,1,null,null
El Arco,20,36.0000,124.0000
Pilar,5,33.0000,1.0000
La Carmela,20,48.0000,null
Olivos,16,22.0000,47.0000
La Carmela,5,116.0000,null
Gral Paz Capital,22,42.0000,null
Pilar,1,23.0000,4.0000
Amanecer,3,12.0000,null
Floresta,17,40.0000,null
Gutierrez,6,64.0000,41.0000
AUBASA BA-LP,19,292.0000,255.0000
Alsina,9,66.0000,4.0000
Los Incas,9,49.0000,1.0000
Boulevard,2,null,null
Maipu,1,null,null
Gral Paz Provincia,7,524.0000,531.0000
Cabildo,1,2.0000,17.0000
DISC Echeverria,4,null,24.0000
Alberdi,10,null,9.0000
Pilar,3,25.0000,1.0000
Del Tejar,1,17.0000,null
Fisherton,23,22.0000,null
Ovidio Lagos,19,null,null
Dialogos,17,36.0000,37.0000
Disc Panamericana,23,null,null
Bonpland,20,21.0000,83.0000
Boulevard,19,34.0000,44.0000
Parque Sarmiento,13,40.0000,87.0000
Santa Fe,14,17.0000,15.0000
AUBASA LP-BA,15,234.0000,449.0000
Parque Sarmiento,2,2.0000,4.0000
Las Heras,19,30.0000,36.0000
Maschwitz,19,null,22.0000
Gutierrez,14,24.0000,38.0000
Las Heras,13,33.0000,32.0000
Alvear,4,42.0000,77.0000
Congreso,0,1.0000,null
Emilio Castro,16,17.0000,34.0000
Arroyo Seco,5,149.0000,122.0000
Lima,0,335.0000,132.0000
Luis Viale,18,23.0000,174.0000
Trelles,8,196.0000,435.0000
El Club,19,68.0000,255.0000
Santa Fe,10,51.0000,22.0000
Las Heras,12,31.0000,38.0000
Cabildo,13,2.0000,51.0000
Ovidio Lagos,22,null,null
Bonpland,11,83.0000,276.0000
America,7,225.0000,null
Del Tejar,6,12.0000,null
AUBASA BA-LP,18,329.0000,429.0000
El Arco,9,151.0000,460.0000
Amanecer,11,131.0000,null
Alvear,13,67.0000,171.0000
Rivadavia,21,null,null
Gral Paz Capital,5,214.0000,null
Villa Luro,23,41.0000,72.0000
Alsina,11,52.0000,12.0000
Rosario Sur,11,null,null
Santa Rita,4,3.0000,null
Olivos,4,null,8.0000
Zarate,13,28.0000,10.0000
Emilio Castro,15,20.0000,31.0000
El Club,23,22.0000,82.0000
Florencio Varela,6,26.0000,36.0000
America,14,71.0000,null
El Arco,1,null,null
Gral Paz Capital,18,360.0000,1.0000
DISC Echeverria,23,null,34.0000
Ovidio Lagos,2,null,null
Rosario Sur,5,null,null
Boulevard,5,1.0000,null
CORS EVENTOS,9,75.0000,null
Zarate Brazo Largo,19,3.0000,null
Santa Rita,10,13.0000,26.0000
La Bandera,18,57.0000,517.0000
Santa Fe,17,27.0000,11.0000
America,13,28.0000,null
Santa Rita,22,null,2.0000
Ovidio Lagos,14,null,null
Garay,4,6.0000,14.0000
Santa Fe,2,null,null
Alberdi,17,null,9.0000
America,17,72.0000,null
Zarate Brazo Largo,10,2.0000,null
Maipu,2,null,2.0000
Buen Ayre,18,216.0000,360.0000
Rosario Sur,17,null,null
Villa Allende,13,17.0000,296.0000
Maschwitz,7,null,55.0000
Bonpland,19,36.0000,150.0000
AUBASA LP-BA,12,163.0000,294.0000
Disc Panamericana,20,null,null
Alvear,18,74.0000,194.0000
Alsina,21,58.0000,10.0000
Fisherton,7,214.0000,366.0000
Gral Paz Provincia,6,353.0000,397.0000
Cabildo,23,5.0000,15.0000
San Isidro,5,133.0000,37.0000
Gral Paz Provincia,4,237.0000,77.0000
Rosario Sur,14,null,null
Gutierrez,19,32.0000,27.0000
Los Incas,13,14.0000,null
Fisherton,14,124.0000,90.0000
Amanecer,16,42.0000,null
Luis Viale,7,69.0000,109.0000
Anchorena,8,null,null
Boulevard,21,9.0000,2.0000
Villa Luro,21,26.0000,125.0000
Las Heras,3,20.0000,6.0000
La Bandera,8,101.0000,593.0000
Santa Fe,21,15.0000,3.0000
El Arco,6,117.0000,95.0000
Villa Luro,20,31.0000,138.0000
Amanecer,20,8.0000,null
Emilio Castro,11,40.0000,87.0000
La Carmela,12,33.0000,null
Alvear,8,196.0000,293.0000
Amanecer,8,330.0000,null
Mitre,9,null,null
Arroyo Seco,20,258.0000,690.0000
AUBASA LP-BA,13,147.0000,275.0000
Santa Fe,5,null,null
San Isidro,11,90.0000,114.0000
Gutierrez,17,43.0000,62.0000
Maschwitz,5,null,25.0000
El Club,22,21.0000,54.0000
Los Incas,22,2.0000,null
Buen Ayre,22,77.0000,55.0000
Dialogos,8,68.0000,67.0000
AUBASA BA-LP,9,542.0000,722.0000
Los Incas,18,18.0000,null
Garay,17,13.0000,219.0000
Gral Paz Capital,19,284.0000,null
AUBASA LP-BA,7,545.0000,232.0000
Fisherton,21,28.0000,26.0000
AUBASA LP-BA,14,185.0000,313.0000
Anchorena,7,null,null
Boulevard,14,35.0000,87.0000
Florencio Varela,18,19.0000,3.0000
Los Incas,16,17.0000,null
Villa Allende,16,63.0000,397.0000
Parque Sarmiento,14,150.0000,64.0000
Lima,13,419.0000,458.0000
DISC Echeverria,20,null,10.0000
Luis Viale,9,85.0000,163.0000
Bulnes,3,null,null
Del Tejar,7,11.0000,null
Fisherton,0,23.0000,null
Alsina,23,39.0000,5.0000
Emilio Castro,4,18.0000,22.0000
Olivos,18,20.0000,91.0000
Villa Luro,12,65.0000,244.0000
Del Tejar,2,10.0000,null
CORS EVENTOS,15,69.0000,null
Centenera,5,131.0000,13.0000
San Isidro,22,10.0000,17.0000
Villa Allende,5,1.0000,39.0000
Santa Fe,4,null,null
Alberdi,3,null,7.0000
Disc Panamericana,10,null,null
Garay,21,null,32.0000
Rivadavia,18,null,null
Luis Viale,11,43.0000,178.0000
Del Tejar,13,3.0000,1.0000
Del Tejar,21,26.0000,2.0000
Ovidio Lagos,15,null,null
Amanecer,19,24.0000,null
Congreso,9,4.0000,34.0000
Arroyo Seco,9,695.0000,3110.0000
Zarate,3,null,null
