estacion,hora,q_cafes_llevar_algo_otros_sinbakery_negro,q_cafes_local_algo_otros_sinbakery_negro
Santa Fe,4,null,null
Rivadavia,18,null,null
Del Tejar,13,2.0000,1.0000
Del Tejar,21,11.0000,null
Ovidio Lagos,15,null,null
Luis Viale,11,34.0000,124.0000
Alberdi,12,null,12.0000
Amanecer,19,31.0000,null
Alvear,14,63.0000,233.0000
Arroyo Seco,9,306.0000,650.0000
Las Heras,22,14.0000,4.0000
Zarate,3,null,null
Congreso,9,5.0000,12.0000
Floresta,15,14.0000,null
Bulnes,16,15.0000,63.0000
Bonpland,9,95.0000,168.0000
Las Heras,0,17.0000,11.0000
Dialogos,4,null,null
CORS EVENTOS,12,11.0000,null
Dialogos,19,27.0000,20.0000
Emilio Castro,20,20.0000,22.0000
Las Heras,20,19.0000,31.0000
Maipu,6,null,2.0000
Anchorena,4,null,null
Buen Ayre,12,48.0000,168.0000
Arroyo Seco,19,348.0000,675.0000
Ovidio Lagos,13,null,null
Alsina,2,75.0000,null
Lima,11,452.0000,391.0000
Luis Viale,21,17.0000,44.0000
Santa Rita,3,3.0000,null
Villa Allende,1,null,2.0000
Alberdi,15,null,13.0000
Disc Panamericana,19,5.0000,null
Trelles,7,95.0000,83.0000
Gral Paz Capital,6,297.0000,null
Villa Allende,21,20.0000,74.0000
Zarate Brazo Largo,7,null,null
Disc Panamericana,3,null,null
Villa Allende,8,108.0000,254.0000
Floresta,12,2.0000,null
La Bandera,10,32.0000,358.0000
Floresta,7,31.0000,null
Lima,2,400.0000,108.0000
Trelles,22,15.0000,32.0000
America,2,22.0000,null
Anchorena,17,null,null
Florencio Varela,16,12.0000,null
America,20,21.0000,null
Laferrere,5,43.0000,32.0000
Boulevard,0,null,null
AUBASA LP-BA,19,169.0000,199.0000
Villa Allende,20,20.0000,160.0000
El Arco,14,34.0000,103.0000
Alsina,19,20.0000,8.0000
Libertador,11,79.0000,155.0000
Alvear,17,89.0000,177.0000
Zarate,10,19.0000,11.0000
Parque Sarmiento,15,148.0000,55.0000
Fisherton,10,87.0000,552.0000
Buen Ayre,1,19.0000,45.0000
El Arco,11,37.0000,150.0000
El Arco,18,36.0000,123.0000
Centenera,7,188.0000,8.0000
Santa Fe,9,51.0000,11.0000
Del Tejar,8,6.0000,null
Arroyo Seco,10,340.0000,879.0000
Las Heras,7,31.0000,6.0000
Bonpland,15,39.0000,166.0000
Pilar,9,52.0000,null
Libertador,0,83.0000,70.0000
El Club,8,157.0000,229.0000
Fisherton,6,80.0000,44.0000
Bonpland,21,24.0000,60.0000
America,16,45.0000,null
Libertador,13,65.0000,175.0000
Laferrere,22,11.0000,106.0000
Zarate Brazo Largo,5,null,null
AUBASA BA-LP,6,197.0000,98.0000
Trelles,0,38.0000,80.0000
Parque Sarmiento,22,2.0000,18.0000
Alsina,15,28.0000,3.0000
Olivos,3,1.0000,11.0000
Luis Viale,1,35.0000,40.0000
CORS EVENTOS,7,null,null
Cabildo,16,6.0000,72.0000
Maschwitz,22,null,7.0000
La Bandera,1,null,null
Alvear,3,52.0000,66.0000
Luis Viale,4,14.0000,14.0000
Florencio Varela,20,2.0000,null
Pilar,16,31.0000,null
Gral Paz Capital,16,152.0000,null
Alvear,21,34.0000,105.0000
El Arco,12,27.0000,130.0000
Disc Panamericana,8,1.0000,null
Villa Allende,6,28.0000,166.0000
Bulnes,0,null,null
Olivos,23,3.0000,55.0000
Garay,22,4.0000,42.0000
Santa Rita,15,1.0000,14.0000
Gutierrez,12,23.0000,42.0000
Alvear,16,69.0000,231.0000
Ovidio Lagos,21,null,null
Gral Paz Capital,1,50.0000,null
DISC Echeverria,22,null,23.0000
Quilmes,4,55.0000,14.0000
Santa Fe,8,81.0000,14.0000
Villa Luro,5,51.0000,24.0000
Congreso,5,1.0000,1.0000
La Carmela,4,90.0000,null
Boulevard,4,null,null
Garay,16,13.0000,165.0000
Emilio Castro,22,22.0000,11.0000
Pilar,12,18.0000,null
Mitre,19,null,null
DISC Caraffa,3,null,null
Pilar,10,46.0000,null
Maschwitz,8,null,102.0000
Pilar,17,48.0000,1.0000
Amanecer,14,28.0000,null
Libertador,18,99.0000,163.0000
Gral Paz Provincia,11,98.0000,252.0000
Alberdi,8,null,55.0000
Centenera,21,12.0000,6.0000
Garay,15,11.0000,152.0000
Pilar,15,28.0000,null
Anchorena,23,null,null
El Arco,2,null,null
Laferrere,23,24.0000,110.0000
Mitre,10,null,null
Garay,23,4.0000,35.0000
Cabildo,21,5.0000,27.0000
Dialogos,13,12.0000,18.0000
Laferrere,13,3.0000,79.0000
Gral Paz Provincia,15,97.0000,295.0000
Santa Rita,18,4.0000,8.0000
Centenera,3,8.0000,5.0000
Buen Ayre,21,40.0000,58.0000
Floresta,21,8.0000,null
Parque Sarmiento,9,86.0000,94.0000
DISC Echeverria,14,null,9.0000
Rosario Sur,12,null,null
Villa Luro,19,40.0000,153.0000
La Carmela,13,39.0000,null
Laferrere,11,8.0000,75.0000
Olivos,21,11.0000,41.0000
Rosario Sur,6,null,null
Alberdi,5,null,10.0000
AUBASA LP-BA,23,97.0000,62.0000
Buen Ayre,6,82.0000,54.0000
CORS EVENTOS,11,44.0000,null
Anchorena,0,null,null
Anchorena,16,null,null
Dialogos,6,23.0000,15.0000
Dialogos,14,20.0000,14.0000
San Isidro,19,38.0000,75.0000
Libertador,4,58.0000,19.0000
El Arco,0,null,null
Emilio Castro,2,18.0000,13.0000
Alsina,10,47.0000,3.0000
La Carmela,11,49.0000,null
Alvear,10,140.0000,226.0000
Boulevard,11,96.0000,197.0000
Villa Luro,7,128.0000,105.0000
Olivos,19,10.0000,50.0000
Rosario Sur,4,null,null
Boulevard,10,91.0000,191.0000
Fisherton,11,49.0000,538.0000
Disc Panamericana,14,2.0000,null
Parque Sarmiento,1,7.0000,4.0000
CORS EVENTOS,14,59.0000,null
Villa Allende,11,33.0000,392.0000
Villa Luro,8,130.0000,120.0000
Libertador,20,65.0000,64.0000
Parque Sarmiento,0,8.0000,11.0000
Villa Allende,23,null,null
El Club,14,48.0000,341.0000
Centenera,6,100.0000,18.0000
Libertador,22,39.0000,44.0000
Dialogos,22,13.0000,8.0000
Floresta,16,13.0000,null
Zarate Brazo Largo,9,3.0000,null
Fisherton,9,104.0000,351.0000
Pilar,19,35.0000,null
Anchorena,20,null,null
Emilio Castro,3,27.0000,11.0000
Villa Allende,3,null,3.0000
Los Incas,1,9.0000,null
AUBASA LP-BA,10,201.0000,285.0000
AUBASA BA-LP,17,256.0000,238.0000
Laferrere,17,23.0000,167.0000
Maipu,9,null,1.0000
Gral Paz Provincia,3,78.0000,72.0000
Alsina,1,57.0000,null
Buen Ayre,5,47.0000,21.0000
Mitre,18,null,null
AUBASA BA-LP,7,278.0000,135.0000
Los Incas,20,10.0000,null
Quilmes,6,60.0000,49.0000
La Carmela,7,109.0000,null
AUBASA BA-LP,10,319.0000,309.0000
Bonpland,23,47.0000,89.0000
Olivos,9,10.0000,6.0000
America,3,20.0000,null
Fisherton,3,10.0000,null
CORS EVENTOS,8,20.0000,null
Bonpland,10,69.0000,171.0000
Del Tejar,0,11.0000,1.0000
Gral Paz Capital,10,422.0000,null
Gral Paz Provincia,17,87.0000,204.0000
Zarate,9,14.0000,7.0000
DISC Echeverria,6,null,148.0000
AUBASA BA-LP,16,291.0000,279.0000
DISC Caraffa,20,null,15.0000
Garay,18,12.0000,153.0000
Floresta,9,20.0000,null
Zarate,22,11.0000,2.0000
Laferrere,1,25.0000,61.0000
Santa Fe,12,15.0000,6.0000
Arroyo Seco,17,530.0000,1332.0000
Las Heras,15,49.0000,50.0000
Las Heras,21,18.0000,27.0000
Maschwitz,18,null,38.0000
Congreso,10,5.0000,4.0000
Trelles,23,21.0000,51.0000
AUBASA LP-BA,18,228.0000,269.0000
Quilmes,17,42.0000,102.0000
Pilar,14,15.0000,null
Del Tejar,16,12.0000,6.0000
Boulevard,15,59.0000,118.0000
Rivadavia,7,null,null
DISC Echeverria,8,null,84.0000
Congreso,7,4.0000,4.0000
Trelles,13,44.0000,163.0000
Parque Sarmiento,5,5.0000,12.0000
Alsina,3,54.0000,1.0000
Cabildo,8,13.0000,152.0000
Alberdi,7,null,42.0000
Libertador,9,144.0000,165.0000
Gral Paz Provincia,20,38.0000,113.0000
Luis Viale,17,24.0000,215.0000
Florencio Varela,14,12.0000,2.0000
DISC Caraffa,5,null,null
Amanecer,1,17.0000,null
Buen Ayre,4,17.0000,9.0000
Boulevard,20,21.0000,22.0000
Libertador,3,41.0000,32.0000
Congreso,4,null,null
El Arco,15,56.0000,144.0000
Alsina,20,21.0000,7.0000
Las Heras,11,33.0000,25.0000
Libertador,23,62.0000,77.0000
Emilio Castro,23,20.0000,17.0000
Rivadavia,12,null,null
Florencio Varela,12,14.0000,26.0000
Bonpland,0,58.0000,76.0000
Anchorena,1,null,null
DISC Echeverria,1,null,57.0000
CORS EVENTOS,16,59.0000,null
Florencio Varela,8,51.0000,65.0000
Gral Paz Provincia,5,164.0000,56.0000
Garay,8,38.0000,163.0000
Rivadavia,14,null,null
Alvear,5,104.0000,40.0000
Maschwitz,1,null,22.0000
Ovidio Lagos,4,null,null
Ovidio Lagos,18,null,null
Laferrere,12,8.0000,83.0000
Ovidio Lagos,7,null,null
Villa Luro,1,23.0000,49.0000
Rivadavia,9,null,null
Santa Rita,9,3.0000,16.0000
Florencio Varela,10,26.0000,22.0000
Pilar,18,38.0000,null
El Club,21,26.0000,105.0000
America,22,17.0000,null
DISC Echeverria,5,null,203.0000
Arroyo Seco,16,573.0000,1741.0000
Luis Viale,16,27.0000,213.0000
Emilio Castro,10,32.0000,42.0000
Cabildo,17,10.0000,67.0000
Trelles,12,36.0000,168.0000
DISC Echeverria,3,null,43.0000
Centenera,9,107.0000,23.0000
Floresta,3,14.0000,null
El Club,2,26.0000,55.0000
CORS EVENTOS,13,18.0000,null
Gral Paz Capital,11,296.0000,null
Pilar,8,83.0000,1.0000
Arroyo Seco,0,224.0000,168.0000
El Club,9,159.0000,286.0000
El Arco,5,null,null
Santa Fe,3,null,null
Gral Paz Provincia,8,161.0000,243.0000
Garay,5,11.0000,11.0000
Maschwitz,21,null,9.0000
Trelles,16,65.0000,141.0000
Zarate Brazo Largo,4,null,null
Fisherton,4,6.0000,null
Las Heras,10,37.0000,31.0000
Disc Panamericana,1,null,null
El Club,11,74.0000,371.0000
Laferrere,15,14.0000,174.0000
Congreso,17,12.0000,4.0000
Garay,11,27.0000,165.0000
Zarate,19,7.0000,2.0000
Villa Allende,4,2.0000,2.0000
Cabildo,5,6.0000,16.0000
Rosario Sur,3,null,null
Buen Ayre,23,29.0000,46.0000
CORS EVENTOS,10,39.0000,null
Centenera,8,150.0000,36.0000
Emilio Castro,21,19.0000,10.0000
Los Incas,15,23.0000,null
El Club,10,119.0000,357.0000
Libertador,2,76.0000,33.0000
San Isidro,0,40.0000,17.0000
DISC Caraffa,1,null,null
San Isidro,1,30.0000,20.0000
CORS EVENTOS,18,2.0000,null
Alberdi,11,null,15.0000
Las Heras,16,60.0000,38.0000
Del Tejar,9,13.0000,null
Ovidio Lagos,11,null,null
Florencio Varela,1,15.0000,null
Anchorena,13,null,null
Buen Ayre,8,133.0000,153.0000
Bulnes,17,15.0000,75.0000
Mitre,13,null,null
Parque Sarmiento,11,42.0000,103.0000
Bulnes,15,6.0000,61.0000
Rosario Sur,0,null,null
Lima,21,322.0000,155.0000
Centenera,23,8.0000,2.0000
El Arco,3,null,null
Rosario Sur,7,null,null
Alberdi,18,null,12.0000
Zarate,12,33.0000,1.0000
Villa Allende,19,31.0000,252.0000
Del Tejar,10,4.0000,null
DISC Echeverria,15,null,35.0000
Gutierrez,7,69.0000,47.0000
Alberdi,6,null,18.0000
Gutierrez,20,28.0000,26.0000
AUBASA LP-BA,8,298.0000,185.0000
Rivadavia,20,null,null
Zarate Brazo Largo,15,2.0000,null
Dialogos,7,36.0000,19.0000
America,0,25.0000,null
Lima,22,310.0000,133.0000
Santa Rita,14,3.0000,13.0000
Zarate Brazo Largo,12,null,null
Gutierrez,13,23.0000,50.0000
Los Incas,21,4.0000,null
Alsina,13,13.0000,10.0000
Lima,18,740.0000,461.0000
Alvear,6,140.0000,167.0000
Gutierrez,4,24.0000,7.0000
Villa Luro,18,41.0000,207.0000
Cabildo,22,6.0000,20.0000
Floresta,23,11.0000,null
El Arco,7,124.0000,50.0000
Dialogos,5,null,null
Ovidio Lagos,3,null,null
Floresta,14,15.0000,null
Quilmes,5,42.0000,12.0000
Garay,14,4.0000,128.0000
La Bandera,7,45.0000,149.0000
DISC Echeverria,21,null,37.0000
DISC Caraffa,22,null,2.0000
Bulnes,9,36.0000,43.0000
Villa Allende,18,38.0000,237.0000
Amanecer,9,164.0000,null
Boulevard,18,37.0000,71.0000
Villa Luro,17,53.0000,243.0000
Villa Allende,10,72.0000,334.0000
Mitre,21,null,null
Amanecer,4,51.0000,null
Ovidio Lagos,5,null,null
AUBASA LP-BA,11,206.0000,244.0000
Congreso,19,2.0000,4.0000
Garay,19,8.0000,199.0000
Anchorena,14,null,null
Zarate Brazo Largo,1,null,null
Bonpland,2,41.0000,65.0000
Rosario Sur,21,null,null
Bulnes,11,13.0000,88.0000
Florencio Varela,5,43.0000,null
Trelles,2,35.0000,42.0000
Gral Paz Provincia,19,80.0000,145.0000
Las Heras,6,28.0000,13.0000
Lima,12,356.0000,353.0000
Zarate Brazo Largo,0,null,null
Amanecer,22,16.0000,null
Cabildo,14,9.0000,96.0000
Los Incas,4,10.0000,null
AUBASA BA-LP,23,115.0000,79.0000
Las Heras,18,24.0000,34.0000
Disc Panamericana,5,null,null
Congreso,2,1.0000,1.0000
Pilar,0,30.0000,null
Mitre,4,null,null
Buen Ayre,9,154.0000,159.0000
Florencio Varela,7,27.0000,80.0000
Zarate,4,null,null
Florencio Varela,21,4.0000,null
America,23,28.0000,null
Del Tejar,4,10.0000,null
La Bandera,21,7.0000,43.0000
Gral Paz Provincia,10,123.0000,263.0000
Santa Fe,0,null,null
Fisherton,5,9.0000,1.0000
Centenera,18,54.0000,10.0000
Pilar,7,109.0000,null
Emilio Castro,0,20.0000,21.0000
Libertador,16,75.0000,186.0000
Lima,4,335.0000,78.0000
Dialogos,1,2.0000,2.0000
Parque Sarmiento,18,205.0000,44.0000
La Carmela,6,145.0000,null
Arroyo Seco,1,277.0000,177.0000
Centenera,22,10.0000,5.0000
Olivos,10,6.0000,13.0000
El Arco,23,null,null
Florencio Varela,4,6.0000,null
Congreso,18,8.0000,2.0000
Gral Paz Capital,2,52.0000,null
Villa Allende,9,85.0000,266.0000
Floresta,8,24.0000,null
Mitre,14,null,null
Villa Allende,15,45.0000,266.0000
Anchorena,15,null,null
DISC Caraffa,0,null,null
Santa Fe,19,27.0000,6.0000
Villa Allende,17,37.0000,359.0000
Lima,16,944.0000,703.0000
Del Tejar,15,8.0000,12.0000
Trelles,3,69.0000,63.0000
Los Incas,3,5.0000,null
DISC Caraffa,4,null,null
Maipu,16,null,35.0000
Alvear,7,200.0000,229.0000
Mitre,17,null,null
DISC Caraffa,8,21.0000,30.0000
San Isidro,9,82.0000,65.0000
Pilar,2,12.0000,2.0000
Buen Ayre,15,107.0000,287.0000
Arroyo Seco,12,296.0000,1140.0000
AUBASA BA-LP,0,131.0000,76.0000
Trelles,15,51.0000,176.0000
La Carmela,9,92.0000,null
Disc Panamericana,22,null,null
Garay,2,12.0000,24.0000
Quilmes,7,126.0000,206.0000
Zarate,1,13.0000,null
Fisherton,17,82.0000,387.0000
El Club,17,103.0000,350.0000
Trelles,14,40.0000,155.0000
Zarate Brazo Largo,17,1.0000,null
Maipu,8,null,6.0000
AUBASA BA-LP,15,261.0000,316.0000
DISC Echeverria,7,null,92.0000
Laferrere,0,33.0000,87.0000
Santa Rita,20,4.0000,9.0000
Maschwitz,23,null,2.0000
Maschwitz,6,null,66.0000
San Isidro,4,24.0000,9.0000
Disc Panamericana,0,null,null
Santa Rita,1,5.0000,null
Parque Sarmiento,7,74.0000,64.0000
Parque Sarmiento,21,90.0000,17.0000
Fisherton,19,82.0000,224.0000
America,12,25.0000,null
Maschwitz,9,null,77.0000
Pilar,13,12.0000,null
Rosario Sur,23,null,null
Arroyo Seco,6,243.0000,186.0000
Alberdi,23,null,3.0000
Congreso,13,3.0000,5.0000
Bulnes,22,null,1.0000
Santa Fe,23,null,null
Boulevard,8,146.0000,78.0000
Los Incas,12,11.0000,null
Quilmes,13,32.0000,109.0000
Lima,9,506.0000,233.0000
Congreso,20,1.0000,1.0000
La Bandera,11,32.0000,433.0000
Disc Panamericana,15,8.0000,null
Santa Rita,6,4.0000,2.0000
Centenera,1,13.0000,4.0000
Zarate Brazo Largo,18,3.0000,null
Amanecer,5,40.0000,null
Congreso,3,1.0000,1.0000
Libertador,6,49.0000,55.0000
Trelles,9,113.0000,123.0000
DISC Caraffa,11,7.0000,40.0000
Floresta,1,20.0000,null
El Club,4,15.0000,17.0000
Ovidio Lagos,20,null,null
Arroyo Seco,15,569.0000,1829.0000
Garay,6,24.0000,58.0000
Gral Paz Provincia,12,64.0000,205.0000
Lima,15,809.0000,677.0000
Los Incas,19,9.0000,null
Floresta,4,19.0000,null
Gutierrez,10,48.0000,30.0000
Dialogos,10,24.0000,20.0000
DISC Caraffa,16,2.0000,27.0000
Trelles,20,32.0000,52.0000
Congreso,12,null,2.0000
Rivadavia,13,null,null
Bonpland,8,126.0000,232.0000
Maipu,22,null,null
Zarate Brazo Largo,2,null,null
AUBASA LP-BA,9,288.0000,224.0000
Quilmes,10,66.0000,271.0000
San Isidro,10,71.0000,58.0000
Garay,9,20.0000,192.0000
Anchorena,2,null,null
Quilmes,19,23.0000,80.0000
Fisherton,22,23.0000,null
AUBASA LP-BA,3,118.0000,54.0000
Luis Viale,3,13.0000,22.0000
America,4,23.0000,null
Dialogos,15,15.0000,27.0000
Congreso,15,7.0000,3.0000
Los Incas,2,7.0000,null
AUBASA LP-BA,22,87.0000,79.0000
San Isidro,7,95.0000,54.0000
Boulevard,3,null,null
Los Incas,6,28.0000,null
Alberdi,4,null,4.0000
Zarate Brazo Largo,21,2.0000,null
Quilmes,15,56.0000,97.0000
Maschwitz,16,null,35.0000
Cabildo,9,11.0000,72.0000
Florencio Varela,15,9.0000,null
Alvear,23,54.0000,101.0000
Buen Ayre,20,33.0000,72.0000
Anchorena,5,null,null
San Isidro,23,22.0000,15.0000
Floresta,5,24.0000,null
Disc Panamericana,4,null,null
Villa Luro,16,45.0000,255.0000
Alvear,20,47.0000,103.0000
San Isidro,2,23.0000,13.0000
La Carmela,23,39.0000,null
Maschwitz,3,null,16.0000
Arroyo Seco,4,185.0000,59.0000
Del Tejar,12,2.0000,null
Maschwitz,10,null,54.0000
Florencio Varela,22,9.0000,null
Villa Luro,3,23.0000,11.0000
Arroyo Seco,23,211.0000,140.0000
Dialogos,23,22.0000,3.0000
Quilmes,0,27.0000,39.0000
Quilmes,1,45.0000,21.0000
Santa Fe,18,33.0000,5.0000
Del Tejar,14,4.0000,8.0000
DISC Echeverria,12,null,25.0000
Villa Luro,4,24.0000,6.0000
Buen Ayre,3,11.0000,12.0000
Amanecer,17,40.0000,null
Quilmes,12,42.0000,118.0000
Alvear,2,52.0000,54.0000
Anchorena,21,null,null
Anchorena,18,null,null
Gutierrez,5,54.0000,9.0000
San Isidro,8,100.0000,39.0000
Bulnes,14,6.0000,43.0000
Alsina,17,29.0000,24.0000
Parque Sarmiento,4,2.0000,10.0000
Rivadavia,5,null,null
CORS EVENTOS,21,null,null
